"","group_set","player1","player2","player3","player4","player5","group_name","team_id","team_abbreviation","gp","w","l","w_pct","min","off_rating","def_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","pace","pie","group_quantity"
"1","Lineups","201599 "," 101108",NA,NA,NA,"Jordan,DeAndre - Paul,Chris","1610612746","LAC","82","56","26","0.683","2554","116.7","102.4","14.3","0.646","2.33","20.2","0.262","0.763","0.523","0.121","0.563","0.59","96.83","0.585",2
"2","Lineups","2772 "," 201935",NA,NA,NA,"Ariza,Trevor - Harden,James","1610612745","HOU","81","56","25","0.691","2282","106.7","101.5","5.2","0.594","1.32","16.5","0.278","0.733","0.504","0.168","0.518","0.56","98.32","0.51",2
"3","Lineups","101162 "," 202322",NA,NA,NA,"Gortat,Marcin - Wall,John","1610612764","WAS","79","45","34","0.57","2279","103.8","97.3","6.5","0.643","1.78","19.2","0.235","0.783","0.515","0.147","0.512","0.543","97.34","0.55",2
"4","Lineups","201933 "," 101108",NA,NA,NA,"Griffin,Blake - Paul,Chris","1610612746","LAC","67","47","20","0.701","2166","116.7","103.7","13","0.649","2.29","20.1","0.256","0.757","0.515","0.121","0.558","0.592","97.12","0.58",2
"5","Lineups","202339 "," 202693",NA,NA,NA,"Bledsoe,Eric - Morris,Markieff","1610612756","PHX","81","39","42","0.481","2160","104.5","101.1","3.4","0.526","1.35","16.1","0.242","0.744","0.499","0.158","0.516","0.552","98.82","0.524",2
"6","Lineups","101108 "," 200755",NA,NA,NA,"Paul,Chris - Redick,JJ","1610612746","LAC","78","55","23","0.705","2158","115.8","101.9","13.9","0.664","2.24","20.4","0.251","0.765","0.521","0.126","0.563","0.593","97.65","0.587",2
"7","Lineups","201587 "," 203081",NA,NA,NA,"Batum,Nicolas - Lillard,Damian","1610612757","POR","71","43","28","0.606","2154","107.3","103.2","4.1","0.565","1.68","17","0.254","0.752","0.508","0.135","0.509","0.547","97.05","0.525",2
"8","Lineups","200746 "," 203081",NA,NA,NA,"Aldridge,LaMarcus - Lillard,Damian","1610612757","POR","71","48","23","0.676","2139","108.1","103.2","4.9","0.549","1.68","16.6","0.258","0.756","0.51","0.132","0.507","0.548","96.51","0.529",2
"9","Lineups","201939 "," 203110",NA,NA,NA,"Curry,Stephen - Green,Draymond","1610612744","GSW","77","64","13","0.831","2124","114.2","96.2","18","0.666","2.08","20.7","0.235","0.756","0.506","0.138","0.565","0.594","102.39","0.6",2
"10","Lineups","201599 "," 200755",NA,NA,NA,"Jordan,DeAndre - Redick,JJ","1610612746","LAC","78","55","23","0.705","2119","115.7","101.1","14.7","0.669","2.31","20.6","0.263","0.769","0.526","0.125","0.56","0.587","96.85","0.589",2
"11","Lineups","2440 "," 101108",NA,NA,NA,"Barnes,Matt - Paul,Chris","1610612746","LAC","76","51","25","0.671","2055","115.8","102.3","13.5","0.648","2.26","20.2","0.265","0.754","0.52","0.125","0.56","0.587","97.72","0.582",2
"12","Lineups","202681 "," 201567",NA,NA,NA,"Irving,Kyrie - Love,Kevin","1610612739","CLE","69","49","20","0.71","2004","110.7","102.1","8.5","0.598","1.69","18","0.267","0.744","0.511","0.145","0.532","0.571","95.22","0.542",2
"13","Lineups","2199 "," 101145",NA,NA,NA,"Chandler,Tyson - Ellis,Monta","1610612742","DAL","74","47","27","0.635","2003","107.8","102.2","5.5","0.58","1.72","17.8","0.238","0.73","0.487","0.139","0.524","0.557","97.88","0.534",2
"14","Lineups","201939 "," 202691",NA,NA,NA,"Curry,Stephen - Thompson,Klay","1610612744","GSW","76","64","12","0.842","2000","115.4","97.1","18.3","0.662","2.12","20.8","0.236","0.753","0.506","0.136","0.57","0.598","102.36","0.598",2
"15","Lineups","2440 "," 201599",NA,NA,NA,"Barnes,Matt - Jordan,DeAndre","1610612746","LAC","76","51","25","0.671","1996","115.9","102.2","13.7","0.653","2.29","20.4","0.273","0.755","0.523","0.125","0.56","0.585","97.16","0.582",2
"16","Lineups","203110 "," 202691",NA,NA,NA,"Green,Draymond - Thompson,Klay","1610612744","GSW","74","61","13","0.824","1969","114.6","95.7","18.8","0.663","2.1","20.7","0.234","0.75","0.505","0.136","0.566","0.595","101.44","0.604",2
"17","Lineups","201933 "," 201599",NA,NA,NA,"Griffin,Blake - Jordan,DeAndre","1610612746","LAC","67","47","20","0.701","1957","118.1","102.8","15.4","0.657","2.37","20.6","0.268","0.761","0.525","0.121","0.566","0.597","96.44","0.592",2
"18","Lineups","201163 "," 201951",NA,NA,NA,"Chandler,Wilson - Lawson,Ty","1610612743","DEN","71","27","44","0.38","1939","105.1","108.2","-3.1","0.582","1.63","16.9","0.271","0.769","0.509","0.14","0.496","0.535","99.48","0.472",2
"19","Lineups","201188 "," 201584",NA,NA,NA,"Gasol,Marc - Lee,Courtney","1610612763","MEM","76","51","25","0.671","1939","105.2","102.4","2.7","0.585","1.64","17.6","0.232","0.756","0.498","0.143","0.505","0.551","94.5","0.534",2
"20","Lineups","101145 "," 202718",NA,NA,NA,"Ellis,Monta - Parsons,Chandler","1610612742","DAL","65","41","24","0.631","1932","109","103.4","5.6","0.581","1.78","18","0.239","0.712","0.476","0.136","0.531","0.563","98.19","0.532",2
"21","Lineups","201144 "," 201188",NA,NA,NA,"Conley,Mike - Gasol,Marc","1610612763","MEM","70","47","23","0.671","1925","105.9","101.1","4.8","0.577","1.64","17.2","0.241","0.759","0.502","0.14","0.501","0.55","93.95","0.54",2
"22","Lineups","202710 "," 2200",NA,NA,NA,"Butler,Jimmy - Gasol,Pau","1610612741","CHI","61","38","23","0.623","1914","105.6","103","2.6","0.601","1.64","17.1","0.266","0.734","0.51","0.14","0.491","0.54","96.1","0.539",2
"23","Lineups","203076 "," 201936",NA,NA,NA,"Davis,Anthony - Evans,Tyreke","1610612740","NOP","65","37","28","0.569","1914","108.3","104","4.3","0.58","1.81","17.7","0.281","0.761","0.519","0.134","0.511","0.545","94.51","0.526",2
"24","Lineups","203506 "," 202696",NA,NA,NA,"Oladipo,Victor - Vucevic,Nikola","1610612753","ORL","64","18","46","0.281","1898","101.6","106.9","-5.4","0.568","1.55","17.1","0.237","0.773","0.494","0.148","0.498","0.529","96.25","0.461",2
"25","Lineups","200746 "," 201587",NA,NA,NA,"Aldridge,LaMarcus - Batum,Nicolas","1610612757","POR","63","41","22","0.651","1887","108.1","102.8","5.3","0.563","1.75","17.1","0.256","0.756","0.512","0.132","0.511","0.549","96.44","0.533",2
"26","Lineups","201188 "," 2216",NA,NA,NA,"Gasol,Marc - Randolph,Zach","1610612763","MEM","71","51","20","0.718","1875","106.4","101.5","5","0.569","1.65","17.2","0.254","0.764","0.512","0.14","0.502","0.549","93.32","0.545",2
"27","Lineups","201143 "," 2594",NA,NA,NA,"Horford,Al - Korver,Kyle","1610612737","ATL","73","56","17","0.767","1873","110.7","100.8","9.9","0.727","2.17","22.2","0.204","0.728","0.48","0.142","0.557","0.588","95.92","0.567",2
"28","Lineups","200794 "," 201952",NA,NA,NA,"Millsap,Paul - Teague,Jeff","1610612737","ATL","68","50","18","0.735","1867","109","101.1","7.9","0.663","1.85","19.6","0.214","0.733","0.479","0.144","0.537","0.576","97.66","0.553",2
"29","Lineups","202339 "," 200782",NA,NA,NA,"Bledsoe,Eric - Tucker,PJ","1610612756","PHX","77","36","41","0.468","1854","103.7","101.7","2","0.512","1.33","15.3","0.255","0.736","0.496","0.152","0.501","0.538","98.16","0.506",2
"30","Lineups","203484 "," 203083",NA,NA,NA,"Caldwell-Pope,Kentavious - Drummond,Andre","1610612765","DET","82","32","50","0.39","1832","105.3","104.8","0.5","0.587","1.64","17.3","0.307","0.755","0.524","0.147","0.504","0.527","95.56","0.488",2
"31","Lineups","1718 "," 202322",NA,NA,NA,"Pierce,Paul - Wall,John","1610612764","WAS","71","39","32","0.549","1826","103.6","98.2","5.4","0.644","1.68","18.9","0.23","0.787","0.509","0.153","0.512","0.547","97.91","0.541",2
"32","Lineups","202324 "," 202330",NA,NA,NA,"Favors,Derrick - Hayward,Gordon","1610612762","UTA","70","32","38","0.457","1816","106.2","103.7","2.5","0.58","1.54","17.2","0.28","0.772","0.527","0.151","0.51","0.546","92.93","0.521",2
"33","Lineups","202681 "," 2544",NA,NA,NA,"Irving,Kyrie - James,LeBron","1610612739","CLE","65","49","16","0.754","1811","113.4","103.1","10.4","0.588","1.66","18.1","0.263","0.749","0.514","0.148","0.552","0.59","95.51","0.553",2
"34","Lineups","2544 "," 201567",NA,NA,NA,"James,LeBron - Love,Kevin","1610612739","CLE","64","47","17","0.734","1790","112.6","102","10.6","0.61","1.74","18.5","0.268","0.748","0.517","0.145","0.545","0.583","94.69","0.56",2
"35","Lineups","201960 "," 200794",NA,NA,NA,"Carroll,DeMarre - Millsap,Paul","1610612737","ATL","66","50","16","0.758","1788","108.9","101.4","7.5","0.671","1.83","19.7","0.215","0.727","0.477","0.146","0.537","0.577","97.23","0.551",2
