
JJ Redick	LAC	70	180	18.2%	0.98	176	69	153	45.1	50.3	6.7%	8.3%	6.1%	1.1%	43.9%	72.1
Avery Bradley	BOS	71	194	17.5%	0.83	161	62	159	39.0	44.7	5.7%	12.9%	4.6%	0.5%	37.1%	46.9
Khris Middleton	MIL	76	141	10.1%	1.09	154	52	117	44.4	58.1	6.4%	9.9%	6.4%	0.0%	43.3%	85.8
Isaiah Thomas	BOS	76	156	9.2%	0.94	147	46	113	40.7	43.8	16.0%	12.8%	13.5%	1.3%	44.2%	66.8
Gordon Hayward	UTA	74	172	11.6%	0.81	139	50	135	37.0	42.2	8.7%	13.4%	6.4%	0.6%	37.2%	44.2
Nicolas Batum	CHA	66	139	12.6%	0.91	127	40	117	34.2	41.5	10.8%	6.5%	10.8%	1.4%	38.1%	62.4
Zach LaVine	MIN	76	122	11.0%	0.99	121	47	113	41.6	50.0	4.1%	4.1%	4.1%	0.8%	41.8%	74.3
Rodney Hood	UTA	73	121	11.1%	0.93	113	44	99	44.4	51.5	5.0%	12.4%	5.8%	0.0%	41.3%	65.5
Gary Harris	DEN	71	126	14.8%	0.90	113	42	106	39.6	47.6	6.3%	11.1%	6.3%	1.6%	38.1%	57.5
Stephen Curry	GSW	73	92	5.0%	1.22	112	37	69	53.6	68.8	8.7%	16.3%	2.2%	0.0%	48.9%	92.0
Damian Lillard	POR	69	120	6.8%	0.93	112	40	102	39.2	47.5	9.2%	9.2%	7.5%	3.3%	38.3%	65.0
CJ McCollum	POR	74	125	7.9%	0.90	112	45	112	40.2	45.5	4.0%	6.4%	2.4%	0.0%	40.0%	57.1
Kemba Walker	CHA	74	97	6.2%	1.09	106	36	78	46.2	51.9	15.5%	7.2%	13.4%	3.1%	49.5%	86.3
Andrew Wiggins	MIN	75	103	6.4%	0.99	102	37	84	44.0	50.0	11.7%	8.7%	8.7%	1.9%	45.6%	73.9
Doug McDermott	CHI	74	101	15.1%	0.97	98	39	83	47.0	53.6	5.0%	13.9%	4.0%	1.0%	42.6%	69.9
Kyle Lowry	TOR	73	85	5.5%	1.07	91	27	68	39.7	48.5	14.1%	5.9%	12.9%	0.0%	45.9%	83.2
Kyle Korver	ATL	75	93	13.7%	0.98	91	39	81	48.1	56.2	0.0%	12.9%	0.0%	0.0%	41.9%	73.0
Trey Burke	UTA	64	100	13.4%	0.84	84	35	85	41.2	48.2	2.0%	14.0%	2.0%	1.0%	36.0%	48.9
Victor Oladipo	ORL	69	100	8.5%	0.83	83	35	80	43.8	48.1	3.0%	17.0%	1.0%	0.0%	38.0%	47.3
Jordan Clarkson	LAL	72	69	5.7%	1.19	82	33	62	53.2	60.5	8.7%	4.3%	8.7%	2.9%	52.2%	90.3
Mike Conley	MEM	56	82	9.4%	0.99	81	31	70	44.3	50.0	8.5%	7.3%	8.5%	1.2%	45.1%	73.5
Evan Fournier	ORL	73	89	8.5%	0.91	81	31	72	43.1	47.9	9.0%	12.4%	9.0%	3.4%	40.4%	61.5
Kawhi Leonard	SAS	67	73	6.0%	1.07	78	31	64	48.4	53.1	8.2%	5.5%	8.2%	1.4%	49.3%	82.7
Jimmy Butler	CHI	60	73	5.9%	1.05	77	27	60	45.0	50.0	13.7%	8.2%	11.0%	4.1%	46.6%	81.4
Jamal Crawford	LAC	75	93	8.5%	0.83	77	28	69	40.6	42.8	11.8%	15.1%	11.8%	1.1%	40.9%	46.5
Isaiah Canaan	PHI	74	76	9.0%	1.00	76	27	65	41.5	52.3	6.6%	10.5%	6.6%	2.6%	39.5%	77.2
Paul George	IND	75	97	5.3%	0.76	74	25	82	30.5	36.0	10.3%	9.3%	8.2%	4.1%	32.0%	33.2
Jrue Holiday	NOP	65	67	5.6%	1.09	73	27	53	50.9	61.3	9.0%	11.9%	9.0%	0.0%	49.3%	85.0
James Harden	HOU	76	81	3.8%	0.89	72	21	52	40.4	50.0	12.3%	23.5%	12.3%	0.0%	38.3%	56.6
Danilo Gallinari	DEN	53	64	6.6%	1.11	71	22	47	46.8	57.4	15.6%	10.9%	10.9%	0.0%	50.0%	87.6
