Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Klay Thompson	GSW	74	471	31.2%	1.06	499	184	421	43.7	54.5	4.9%	6.4%	4.5%	0.6%	43.3%	77.6
JJ Redick	LAC	70	387	39.2%	1.11	429	162	348	46.6	57.0	5.2%	5.9%	4.9%	1.3%	45.7%	84.2
Stephen Curry	GSW	73	259	14.0%	1.20	310	104	223	46.6	63.5	6.6%	9.3%	5.4%	1.9%	44.4%	90.8
Paul George	IND	76	301	16.4%	1.02	306	100	247	40.5	51.2	8.6%	9.3%	8.6%	0.7%	41.2%	70.6
Marco Belinelli	SAC	68	258	33.6%	0.98	252	100	226	44.2	48.5	9.7%	6.2%	8.5%	3.5%	44.6%	58.3
Kevin Durant	OKC	68	243	14.1%	0.99	241	93	199	46.7	53.0	7.8%	11.5%	7.0%	1.2%	44.9%	60.5
Kyle Korver	ATL	75	213	31.3%	1.04	222	81	200	40.5	54.5	0.9%	5.6%	0.9%	0.5%	38.5%	74.1
DeMar DeRozan	TOR	74	241	13.8%	0.83	199	79	201	39.3	40.0	9.1%	8.3%	9.1%	0.8%	41.1%	36.8
Nicolas Batum	CHA	66	174	15.8%	1.14	198	70	160	43.8	56.6	4.6%	4.6%	4.6%	1.1%	43.7%	86.4
Andrew Wiggins	MIN	75	234	14.6%	0.80	187	78	189	41.3	41.8	12.0%	10.7%	11.5%	3.4%	41.0%	30.3
Khris Middleton	MIL	76	170	12.2%	0.97	165	62	145	42.8	49.7	7.6%	8.8%	7.1%	1.8%	42.4%	57.1
JR Smith	CLE	72	143	16.3%	1.08	155	58	136	42.6	55.1	2.1%	3.5%	2.1%	0.7%	42.0%	80.7
Isaiah Thomas	BOS	76	146	8.6%	1.03	151	54	126	42.9	53.6	6.8%	8.2%	5.5%	1.4%	42.5%	71.9
Terrence Ross	TOR	66	142	23.2%	1.04	147	60	136	44.1	52.9	2.1%	3.5%	2.1%	1.4%	43.0%	72.8
Avery Bradley	BOS	71	160	14.4%	0.88	141	57	148	38.5	45.3	2.5%	5.0%	2.5%	0.0%	38.1%	43.9
Evan Fournier	ORL	73	128	12.2%	1.05	134	52	110	47.3	56.4	5.5%	9.4%	5.5%	0.8%	45.3%	75.0
Devin Booker	PHX	69	135	13.5%	0.96	129	50	123	40.7	47.2	5.2%	3.7%	3.7%	0.0%	42.2%	52.6
CJ Miles	IND	60	132	18.3%	0.96	127	43	116	37.1	48.7	7.6%	6.8%	6.8%	2.3%	37.9%	54.8
Arron Afflalo	NYK	66	130	14.8%	0.96	125	49	119	41.2	45.8	6.9%	3.1%	6.9%	1.5%	43.1%	54.4
Bradley Beal	WAS	51	137	15.1%	0.90	123	49	119	41.2	48.3	5.8%	8.8%	5.1%	1.5%	40.1%	45.2
Ryan Anderson	NOP	66	114	10.2%	1.06	121	44	105	41.9	54.8	3.5%	5.3%	2.6%	0.9%	41.2%	78.5
CJ McCollum	POR	74	129	8.1%	0.92	119	46	117	39.3	48.7	2.3%	7.8%	1.6%	0.8%	37.2%	48.7
Deron Williams	DAL	62	110	11.4%	1.01	111	43	102	42.2	53.4	0.9%	6.4%	0.9%	0.0%	40.0%	69.7
Allen Crabbe	POR	75	114	15.6%	0.96	109	41	97	42.3	46.9	7.0%	8.8%	6.1%	0.9%	42.1%	53.1
Patty Mills	SAS	74	83	12.9%	1.24	103	36	80	45.0	62.5	3.6%	2.4%	2.4%	2.4%	44.6%	93.9
Wesley Matthews	DAL	72	106	11.8%	0.94	100	34	87	39.1	50.0	7.5%	10.4%	6.6%	0.0%	38.7%	51.3
Anthony Davis	NOP	61	93	6.5%	1.05	98	40	79	50.6	52.5	11.8%	5.4%	10.8%	2.2%	51.6%	76.3
Kevin Martin	MIN	39	96	22.0%	1.00	96	32	85	37.6	45.9	10.4%	2.1%	9.4%	1.0%	42.7%	66.5
Gordon Hayward	UTA	74	112	7.6%	0.86	96	34	93	36.6	44.6	8.0%	8.9%	8.0%	0.9%	36.6%	41.7
Dirk Nowitzki	DAL	69	104	8.6%	0.91	95	44	99	44.4	46.0	3.8%	1.9%	3.8%	1.0%	45.2%	46.5
Damian Lillard	POR	69	95	5.4%	0.99	94	33	84	39.3	50.0	6.3%	6.3%	4.2%	1.1%	40.0%	60.1
Kawhi Leonard	SAS	67	80	6.6%	1.15	92	34	70	48.6	57.1	7.5%	5.0%	7.5%	0.0%	50.0%	87.7
Jeremy Lamb	CHA	61	90	15.9%	1.01	91	38	82	46.3	53.7	2.2%	6.7%	2.2%	0.0%	44.4%	70.2
Kobe Bryant	LAL	59	88	7.6%	0.99	87	32	81	39.5	49.4	5.7%	3.4%	5.7%	1.1%	40.9%	59.6
Chris Bosh	MIA	53	72	7.5%	1.18	85	31	57	54.4	56.1	18.1%	6.9%	18.1%	4.2%	56.9%	89.9
Mirza Teletovic	PHX	71	88	11.0%	0.97	85	31	82	37.8	47.6	4.5%	2.3%	3.4%	0.0%	38.6%	55.7
Louis Williams	LAL	67	86	8.8%	0.97	83	26	69	37.7	47.1	11.6%	10.5%	9.3%	2.3%	39.5%	55.3
Karl-Anthony Towns	MIN	76	74	5.6%	1.11	82	38	68	55.9	58.8	2.7%	6.8%	2.7%	1.4%	52.7%	83.8
Courtney Lee	MEM	51	90	18.4%	0.91	82	32	80	40.0	45.6	6.7%	5.6%	5.6%	1.1%	40.0%	46.1
Mike Conley	MEM	56	70	8.0%	1.16	81	29	61	47.5	56.6	11.4%	2.9%	11.4%	2.9%	50.0%	88.6
George Hill	IND	69	74	8.7%	1.09	81	30	65	46.2	59.2	2.7%	9.5%	2.7%	0.0%	43.2%	82.5
Trevor Ariza	HOU	75	78	8.1%	1.04	81	28	68	41.2	55.9	3.8%	9.0%	3.8%	0.0%	39.7%	73.6
Kyle Lowry	TOR	73	95	6.1%	0.85	81	25	82	30.5	42.1	9.5%	4.2%	8.4%	1.1%	33.7%	40.8
Dwyane Wade	MIA	68	80	5.5%	1.00	80	34	68	50.0	50.0	8.8%	7.5%	8.8%	1.3%	50.0%	66.5
Jeremy Lin	CHA	71	63	6.9%	1.25	79	28	51	54.9	61.8	19.0%	4.8%	17.5%	4.8%	57.1%	95.2
Doug McDermott	CHI	74	102	15.2%	0.77	79	27	94	28.7	38.3	3.9%	4.9%	2.9%	1.0%	29.4%	25.0
Shabazz Muhammad	MIN	76	89	11.5%	0.85	76	31	77	40.3	40.3	11.2%	4.5%	11.2%	2.2%	43.8%	41.2
Kristaps Porzingis	NYK	72	84	7.5%	0.89	75	27	74	36.5	41.9	9.5%	2.4%	9.5%	0.0%	41.7%	44.7
Jae Crowder	BOS	67	69	7.5%	1.06	73	29	65	44.6	54.6	2.9%	5.8%	2.9%	2.9%	42.0%	76.8
James Harden	HOU	76	73	3.4%	1.00	73	21	61	34.4	47.5	11.0%	6.8%	9.6%	1.4%	38.4%	66.5
Wayne Ellington	BKN	70	87	15.3%	0.84	73	28	80	35.0	42.5	3.4%	4.6%	1.1%	0.0%	35.6%	39.0
Carmelo Anthony	NYK	69	65	4.1%	1.09	71	32	62	51.6	55.6	1.5%	3.1%	1.5%	0.0%	50.8%	82.0
Eric Gordon	NOP	45	75	11.1%	0.95	71	26	67	38.8	47.8	6.7%	5.3%	6.7%	1.3%	40.0%	51.8
TJ Warren	PHX	47	55	10.9%	1.27	70	32	49	65.3	68.4	5.5%	9.1%	5.5%	3.6%	60.0%	96.0
Leandro Barbosa	GSW	63	66	15.8%	1.00	66	28	61	45.9	51.6	6.1%	3.0%	7.6%	3.0%	45.5%	66.5
