"","Player","team_id","team_abbreviation","person_id","Team","GP","Poss","Freq","PPP","PTS","FGM","FGA","FG.","eFG.","FT_Freq","TO_Freq","SF_Freq","And_One_Freq","Score_Freq","Percentile","type"
"1","Quincy Acy",1610612758,"SAC",203112,"SAC",49,42,0.198,1.5,63,23,33,69.7,69.7,0.262,0.024,0.262,0.071,0.738,0.914,2
"2","Quincy Acy",1610612758,"SAC",203112,"SAC",49,19,0.09,0.84,16,3,4,75,75,0.421,0.368,0.053,0,0.526,0.919,5
"3","Quincy Acy",1610612758,"SAC",203112,"SAC",49,31,0.146,1.06,33,15,27,55.6,55.6,0.129,0.065,0.129,0.065,0.516,0.523,8
"4","Quincy Acy",1610612758,"SAC",203112,"SAC",49,28,0.132,0.79,22,9,24,37.5,39.6,0.071,0.107,0.071,0.036,0.357,0.117,9
"5","Quincy Acy",1610612758,"SAC",203112,"SAC",49,54,0.255,1.24,67,27,52,51.9,62.5,0.037,0.037,0.037,0.037,0.5,0.952,10
"6","Quincy Acy",1610612758,"SAC",203112,"SAC",49,29,0.137,1.41,41,19,25,76,76,0.103,0.069,0.069,0.034,0.724,0.953,11
"7","Jordan Adams",1610612763,"MEM",203919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Steven Adams",1610612760,"OKC",203500,"OKC",74,161,0.295,1.32,212,91,133,68.4,68.4,0.174,0.043,0.168,0.043,0.689,0.687,2
"9","Steven Adams",1610612760,"OKC",203500,"OKC",74,66,0.121,0.47,31,3,7,42.9,42.9,0.318,0.591,0.03,0.015,0.288,0.456,5
"10","Steven Adams",1610612760,"OKC",203500,"OKC",74,37,0.068,0.95,35,15,26,57.7,57.7,0.108,0.189,0.108,0,0.514,0.776,7
"11","Steven Adams",1610612760,"OKC",203500,"OKC",74,104,0.191,0.92,96,40,82,48.8,48.8,0.163,0.077,0.144,0.029,0.481,0.256,8
