Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Andre Drummond	DET	76	325	23.2%	1.08	350	167	282	59.2	59.2	12.3%	4.9%	11.7%	4.0%	55.1%	54.7
Enes Kanter	OKC	76	190	22.3%	1.19	226	96	160	60.0	60.0	12.6%	6.3%	11.6%	3.2%	60.0%	75.8
Robin Lopez	NYK	77	172	21.6%	1.27	218	102	158	64.6	64.6	5.8%	3.5%	4.1%	1.2%	63.4%	85.8
Hassan Whiteside	MIA	66	176	20.7%	1.23	217	87	131	66.4	66.4	21.0%	7.4%	20.5%	3.4%	65.3%	82.9
Karl-Anthony Towns	MIN	76	157	11.8%	1.29	202	83	128	64.8	64.8	15.3%	7.6%	12.7%	4.5%	63.1%	89.0
Greg Monroe	MIL	74	163	14.3%	1.14	186	78	140	55.7	55.7	12.3%	3.7%	11.0%	1.8%	58.3%	66.5
Kenneth Faried	DEN	63	165	21.0%	1.08	178	79	145	54.5	54.5	11.5%	4.2%	10.9%	3.6%	54.5%	55.5
LaMarcus Aldridge	SAS	69	121	10.1%	1.44	174	67	94	71.3	71.3	19.0%	4.1%	16.5%	0.8%	72.7%	98.2
Brook Lopez	BKN	73	149	9.9%	1.09	163	64	121	52.9	52.9	16.8%	5.4%	15.4%	4.0%	55.7%	60.5
Ed Davis	POR	75	129	28.9%	1.19	154	68	108	63.0	63.0	15.5%	2.3%	12.4%	2.3%	62.0%	77.2
Dwight Howard	HOU	65	133	14.6%	1.12	149	58	93	62.4	62.4	29.3%	4.5%	27.8%	3.8%	60.9%	64.4
DeMarcus Cousins	SAC	63	129	7.1%	1.12	144	57	102	55.9	55.9	19.4%	5.4%	17.1%	3.9%	59.7%	64.1
DeAndre Jordan	LAC	72	148	17.7%	0.97	144	61	120	50.8	50.8	16.2%	4.1%	15.5%	2.0%	52.7%	34.9
