"","team_id","team_name","gp","w","l","w_pct","min","off_rating","def_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","pace","pie","cfid","cfparams","round"
"1","1610612737","Atlanta Hawks","6","4","2","0.667","293","103.6","99.1","4.5","0.67","1.93","19.2","0.222","0.79","0.506","0.136","0.505","0.536","96.04","0.542","10","Atlanta Hawks",1
"2","1610612738","Boston Celtics","4","0","4","0","192","97.2","110.2","-13","0.576","1.48","15.7","0.222","0.719","0.464","0.139","0.453","0.504","95.92","0.427","10","Boston Celtics",1
"3","1610612751","Brooklyn Nets","6","2","4","0.333","293","99.1","103.6","-4.5","0.599","1.51","16.9","0.21","0.778","0.494","0.148","0.486","0.522","96.04","0.458","10","Brooklyn Nets",1
"4","1610612741","Chicago Bulls","6","4","2","0.667","298","101","90","11","0.717","1.5","19.1","0.265","0.761","0.534","0.175","0.504","0.539","95.74","0.584","10","Chicago Bulls",1
"5","1610612739","Cleveland Cavaliers","4","4","0","1","192","110.2","97.2","13","0.479","1.34","13.6","0.281","0.778","0.536","0.132","0.498","0.554","95.92","0.573","10","Cleveland Cavaliers",1
"6","1610612742","Dallas Mavericks","5","1","4","0.2","240","106.1","108.6","-2.5","0.51","1.49","15.3","0.281","0.751","0.507","0.137","0.493","0.534","104.44","0.476","10","Dallas Mavericks",1
"7","1610612744","Golden State Warriors","4","4","0","1","197","111.6","104.1","7.6","0.656","2.1","18.8","0.309","0.751","0.525","0.126","0.516","0.548","94.64","0.536","10","Golden State Warriors",1
"8","1610612745","Houston Rockets","5","4","1","0.8","240","108.6","106.1","2.5","0.585","1.63","16.7","0.249","0.719","0.493","0.137","0.52","0.56","104.44","0.524","10","Houston Rockets",1
"9","1610612746","Los Angeles Clippers","7","4","3","0.571","341","104.4","106.7","-2.3","0.542","1.69","16.3","0.214","0.752","0.491","0.126","0.509","0.539","96.34","0.507","10","Los Angeles Clippers",1
"10","1610612763","Memphis Grizzlies","5","4","1","0.8","240","106.1","99","7.1","0.505","2.29","15.3","0.219","0.778","0.502","0.087","0.465","0.523","94.74","0.564","10","Memphis Grizzlies",1
