Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Houston Rockets	75	784	9.40%	0.87	685	225	608	37	42.5	14.30%	10.30%	13.00%	2.30%	39.90%	75.9
Los Angeles Clippers	73	735	9.40%	0.93	683	247	614	40.2	43.6	12.80%	5.70%	10.60%	2.00%	43.90%	100
New York Knicks	75	737	9.30%	0.92	679	256	606	42.2	44.2	13.40%	6.90%	11.90%	2.60%	45.30%	96.6
Los Angeles Lakers	74	827	10.30%	0.78	645	221	674	32.8	35.7	12.20%	8.20%	11.70%	1.90%	36.60%	24.1
Cleveland Cavaliers	74	716	9.20%	0.85	609	233	603	38.6	41.4	11.30%	6.40%	9.60%	2.20%	41.20%	48.3
Oklahoma City Thunder	75	699	8.30%	0.86	602	221	555	39.8	43.7	10.70%	10.90%	9.40%	1.30%	40.90%	58.6
Portland Trail Blazers	75	659	8.00%	0.87	571	206	531	38.8	43.2	11.50%	9.40%	9.70%	1.80%	40.40%	62.1
Toronto Raptors	73	652	8.50%	0.87	565	192	501	38.3	39.8	16.60%	8.40%	15.60%	1.80%	43.30%	65.5
Milwaukee Bucks	74	661	8.40%	0.84	557	201	512	39.3	40.6	16.20%	9.80%	13.50%	3.50%	42.40%	44.8
Philadelphia 76ers	75	713	8.70%	0.73	522	192	534	36	38	12.60%	14.30%	11.50%	2.00%	36.30%	3.4
Memphis Grizzlies	74	570	7.30%	0.87	498	195	460	42.4	43.7	11.80%	10.20%	11.20%	2.80%	42.80%	72.4
Minnesota Timberwolves	74	564	7.10%	0.85	481	166	441	37.6	39.8	15.60%	8.20%	12.10%	2.00%	41.70%	55.2
Golden State Warriors	74	520	6.30%	0.91	475	179	421	42.5	46.2	11.90%	9.40%	11.30%	2.30%	43.50%	93.1
Detroit Pistons	75	588	7.10%	0.78	460	166	462	35.9	38.3	12.10%	10.90%	9.90%	1.70%	38.10%	27.6
Sacramento Kings	74	616	7.40%	0.74	456	170	479	35.5	37.1	12.00%	12.70%	10.60%	2.40%	36.40%	6.9
Brooklyn Nets	74	554	7.00%	0.82	455	177	458	38.6	41.7	8.80%	9.70%	8.30%	1.30%	38.80%	37.9
New Orleans Pelicans	73	576	7.30%	0.78	449	162	467	34.7	36.7	12.70%	8.90%	10.90%	2.60%	37.70%	20.7
Miami Heat	73	515	6.70%	0.85	439	176	429	41	42.3	9.90%	8.20%	9.30%	1.60%	41.70%	51.7
Chicago Bulls	74	528	6.50%	0.83	437	170	417	40.8	41.8	11.60%	10.80%	10.00%	1.30%	41.90%	41.4
Dallas Mavericks	74	488	6.20%	0.87	426	154	390	39.5	41.9	12.70%	8.80%	11.30%	1.40%	42.00%	69
Phoenix Suns	74	544	6.60%	0.78	426	151	434	34.8	37.8	12.30%	9.60%	9.70%	1.70%	37.30%	31
Utah Jazz	74	470	6.00%	0.88	413	149	363	41	44.5	13.20%	11.50%	11.30%	1.90%	43.00%	82.8
Indiana Pacers	74	539	6.70%	0.76	410	150	430	34.9	37.1	10.90%	11.10%	8.90%	1.90%	36.50%	13.8
Orlando Magic	74	430	5.30%	0.88	380	143	354	40.4	43.4	11.60%	8.80%	10.20%	2.80%	41.90%	86.2
Denver Nuggets	75	526	6.40%	0.72	378	132	431	30.6	32.7	11.60%	8.40%	9.30%	2.10%	34.60%	0
San Antonio Spurs	74	396	5.10%	0.91	359	141	319	44.2	45.1	11.60%	9.30%	9.80%	1.50%	45.50%	89.7
Washington Wizards	74	408	5.10%	0.88	357	132	323	40.9	43.8	13.50%	10.80%	12.50%	3.90%	41.20%	79.3
Atlanta Hawks	75	442	5.50%	0.78	343	128	333	38.4	40.2	12.00%	14.50%	10.60%	2.00%	38.70%	17.2
Boston Celtics	74	416	5.00%	0.8	331	116	335	34.6	36.4	13.20%	8.40%	11.10%	2.20%	38.70%	34.5
Charlotte Hornets	74	429	5.40%	0.76	324	118	350	33.7	36.7	11.20%	9.10%	9.30%	1.90%	36.10%	10.3
