"","group_set","group_value","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","efg_pct","blka","pct_ast_2pm","pct_uast_2pm","pct_ast_3pm","pct_uast_3pm","pct_ast_fgm","pct_uast_fgm","cfid","cfparams","team_id"
"1","Shot Distance (5ft)","Less Than 5 ft.","1378","2343","0.588","0","0","0","0.588","284","0.567","0.433","0","0","0.567","0.433","171","Less Than 5 ft.",1610612737
"2","Shot Distance (5ft)","5-9 ft.","273","658","0.415","0","0","0","0.415","66","0.443","0.557","0","0","0.443","0.557","171","5-9 ft.",1610612737
"3","Shot Distance (5ft)","10-14 ft.","161","409","0.394","0","0","0","0.394","19","0.571","0.429","0","0","0.571","0.429","171","10-14 ft.",1610612737
"4","Shot Distance (5ft)","15-19 ft.","386","889","0.434","0","0","0","0.434","11","0.728","0.272","0","0","0.728","0.272","171","15-19 ft.",1610612737
"5","Shot Distance (5ft)","20-24 ft.","591","1442","0.41","486","1194","0.407","0.578","13","0.81","0.19","0.938","0.062","0.915","0.085","171","20-24 ft.",1610612737
"6","Shot Distance (5ft)","25-29 ft.","331","940","0.352","331","940","0.352","0.528","10","0","0","0.888","0.112","0.888","0.112","171","25-29 ft.",1610612737
"7","Shot Distance (5ft)","30-34 ft.","1","8","0.125","1","8","0.125","0.188","0","0","0","1","0","1","0","171","30-34 ft.",1610612737
"8","Shot Distance (5ft)","35-39 ft.","0","6","0","0","6","0","0","1","0","0","0","0","0","0","171","35-39 ft.",1610612737
"9","Shot Distance (5ft)","40+ ft.","0","4","0","0","4","0","0","0","0","0","0","0","0","0","171","40+ ft.",1610612737
"10","Shot Distance (5ft)","Less Than 5 ft.","1403","2414","0.581","0","0","0","0.581","330","0.552","0.448","0","0","0.552","0.448","171","Less Than 5 ft.",1610612738
"11","Shot Distance (5ft)","5-9 ft.","248","641","0.387","0","0","0","0.387","47","0.468","0.532","0","0","0.468","0.532","171","5-9 ft.",1610612738
"12","Shot Distance (5ft)","10-14 ft.","223","548","0.407","0","0","0","0.407","22","0.435","0.565","0","0","0.435","0.565","171","10-14 ft.",1610612738
"13","Shot Distance (5ft)","15-19 ft.","503","1213","0.415","0","0","0","0.415","13","0.646","0.354","0","0","0.646","0.354","171","15-19 ft.",1610612738
"14","Shot Distance (5ft)","20-24 ft.","503","1377","0.365","347","1003","0.346","0.491","10","0.756","0.244","0.916","0.084","0.867","0.133","171","20-24 ft.",1610612738
"15","Shot Distance (5ft)","25-29 ft.","312","987","0.316","312","987","0.316","0.474","8","0","0","0.837","0.163","0.837","0.163","171","25-29 ft.",1610612738
"16","Shot Distance (5ft)","30-34 ft.","1","7","0.143","1","7","0.143","0.214","1","0","0","0","1","0","1","171","30-34 ft.",1610612738
"17","Shot Distance (5ft)","35-39 ft.","0","5","0","0","5","0","0","0","0","0","0","0","0","0","171","35-39 ft.",1610612738
"18","Shot Distance (5ft)","40+ ft.","0","17","0","0","17","0","0","0","0","0","0","0","0","0","171","40+ ft.",1610612738
"19","Shot Distance (5ft)","Less Than 5 ft.","1400","2315","0.605","0","0","0","0.605","263","0.556","0.444","0","0","0.556","0.444","171","Less Than 5 ft.",1610612739
"20","Shot Distance (5ft)","5-9 ft.","264","719","0.367","0","0","0","0.367","66","0.492","0.508","0","0","0.492","0.508","171","5-9 ft.",1610612739
