Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
James Harden	HOU	76	526	24.4%	0.94	492	149	396	37.6	44.1	17.1%	10.5%	15.2%	2.9%	42.2%	74.9
Carmelo Anthony	NYK	69	374	23.4%	0.97	361	136	303	44.9	46.5	13.9%	7.5%	12.0%	2.4%	47.9%	79.6
Damian Lillard	POR	69	293	16.7%	1.01	297	94	234	40.2	46.4	16.4%	5.8%	15.0%	2.4%	45.7%	90.5
LeBron James	CLE	72	339	19.2%	0.84	286	104	277	37.5	40.4	13.6%	7.4%	10.9%	3.2%	40.4%	58.5
DeMar DeRozan	TOR	74	289	16.5%	0.93	270	87	220	39.5	40.5	19.7%	6.6%	18.0%	2.4%	47.1%	74.5
Kevin Durant	OKC	68	259	15.0%	1.01	261	90	199	45.2	50.3	13.5%	10.4%	11.6%	1.2%	47.1%	90.2
Jamal Crawford	LAC	75	249	22.7%	1.00	249	87	209	41.6	44.0	15.3%	3.2%	13.3%	2.4%	47.4%	89.2
Paul George	IND	75	259	14.2%	0.78	203	66	201	32.8	35.3	13.5%	10.8%	11.6%	1.9%	37.1%	46.0
Stephen Curry	GSW	73	187	10.1%	1.06	198	69	156	44.2	52.2	10.7%	7.0%	10.2%	1.1%	46.5%	94.5
Chris Paul	LAC	69	211	15.4%	0.92	194	69	181	38.1	44.5	8.1%	6.2%	4.7%	0.0%	40.8%	71.6
Russell Westbrook	OKC	76	246	12.6%	0.75	184	71	199	35.7	38.9	8.5%	11.8%	8.5%	1.2%	35.8%	37.8
Julius Randle	LAL	74	225	22.1%	0.75	168	71	185	38.4	38.4	10.7%	11.1%	10.7%	4.0%	37.8%	37.5
Jahil Okafor	PHI	53	187	19.0%	0.87	162	68	151	45.0	45.0	12.3%	9.6%	11.2%	2.7%	45.5%	63.3
