Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
DeAndre Jordan	LAC	72	215	25.7%	0.68	146	8	11	72.7	72.7	69.3%	25.6%	1.4%	0.0%	53.5%	75.3
Stephen Curry	GSW	73	134	7.3%	0.84	112	21	49	42.9	55.1	23.1%	40.3%	0.7%	0.0%	38.8%	91.4
James Harden	HOU	76	120	5.6%	0.79	95	17	34	50.0	57.4	27.5%	45.0%	2.5%	0.8%	40.0%	88.9
DeMarcus Cousins	SAC	63	132	7.3%	0.70	93	12	35	34.3	34.3	39.4%	35.6%	6.8%	1.5%	41.7%	77.3
Andre Drummond	DET	76	175	12.5%	0.48	84	4	16	25.0	31.3	56.6%	34.9%	3.4%	0.6%	37.7%	47.6
Paul George	IND	76	112	6.1%	0.73	82	13	34	38.2	45.6	30.4%	42.0%	6.3%	2.7%	37.5%	80.8
Dwight Howard	HOU	65	150	16.5%	0.55	82	5	7	71.4	71.4	47.3%	48.7%	2.0%	0.7%	36.7%	57.9
Reggie Jackson	DET	75	82	5.5%	0.94	77	13	29	44.8	55.2	31.7%	32.9%	0.0%	0.0%	47.6%	97.8
Chris Paul	LAC	69	89	6.5%	0.85	76	9	26	34.6	44.2	34.8%	36.0%	3.4%	0.0%	44.9%	93.1
DeMar DeRozan	TOR	74	66	3.8%	1.09	72	12	28	42.9	44.6	42.4%	15.2%	3.0%	0.0%	60.6%	98.9
John Wall	WAS	76	95	5.4%	0.75	71	15	29	51.7	53.4	24.2%	48.4%	5.3%	3.2%	35.8%	82.8
Kyle Lowry	TOR	73	92	5.9%	0.76	70	10	25	40.0	50.0	31.5%	41.3%	3.3%	0.0%	40.2%	83.9
Isaiah Thomas	BOS	76	75	4.4%	0.92	69	9	21	42.9	42.9	37.3%	34.7%	2.7%	0.0%	49.3%	96.4
Kemba Walker	CHA	74	86	5.5%	0.80	69	6	27	22.2	27.8	33.7%	34.9%	0.0%	0.0%	40.7%	90.0
Khris Middleton	MIL	76	77	5.5%	0.87	67	9	26	34.6	38.5	31.2%	36.4%	5.2%	1.3%	41.6%	94.2
Kevin Durant	OKC	68	79	4.6%	0.85	67	9	23	39.1	43.5	32.9%	38.0%	1.3%	0.0%	44.3%	92.2
Carmelo Anthony	NYK	69	89	5.6%	0.72	64	8	17	47.1	47.1	31.5%	49.4%	2.2%	0.0%	37.1%	78.7
Klay Thompson	GSW	74	69	4.6%	0.91	63	17	31	54.8	59.7	21.7%	33.3%	1.4%	0.0%	46.4%	96.1
Damian Lillard	POR	69	86	4.9%	0.73	63	10	24	41.7	47.9	24.4%	47.7%	1.2%	0.0%	34.9%	81.2
Anthony Davis	NOP	61	79	5.5%	0.76	60	14	23	60.9	63.0	31.6%	43.0%	6.3%	3.8%	44.3%	83.7
Ricky Rubio	MIN	70	65	7.5%	0.89	58	4	10	40.0	50.0	44.6%	40.0%	4.6%	0.0%	50.8%	94.7
Jeff Teague	ATL	74	72	5.8%	0.78	56	9	21	42.9	47.6	27.8%	43.1%	4.2%	0.0%	40.3%	86.7
Dwyane Wade	MIA	68	69	4.7%	0.80	55	7	14	50.0	53.6	34.8%	44.9%	0.0%	0.0%	44.9%	89.8
Nikola Jokic	DEN	74	73	9.8%	0.75	55	10	17	58.8	58.8	28.8%	47.9%	2.7%	0.0%	41.1%	83.4
Russell Westbrook	OKC	76	81	4.1%	0.68	55	10	27	37.0	37.0	27.2%	42.0%	6.2%	2.5%	37.0%	75.1
LeBron James	CLE	72	102	5.8%	0.52	53	10	18	55.6	58.3	25.5%	59.8%	4.9%	2.9%	29.4%	51.5
Pau Gasol	CHI	67	109	9.1%	0.48	52	3	13	23.1	23.1	25.7%	62.4%	0.9%	0.0%	27.5%	46.8
Draymond Green	GSW	75	116	10.3%	0.45	52	10	13	76.9	80.8	19.0%	69.8%	2.6%	0.0%	23.3%	42.6
Will Barton	DEN	77	64	5.5%	0.80	51	8	24	33.3	37.5	28.1%	34.4%	3.1%	0.0%	40.6%	89.5
Giannis Antetokounmpo	MIL	74	78	6.1%	0.64	50	11	21	52.4	52.4	24.4%	48.7%	3.8%	0.0%	37.2%	72.0
Darren Collison	SAC	71	62	6.6%	0.77	48	9	19	47.4	50.0	27.4%	43.5%	8.1%	1.6%	40.3%	86.1
Danilo Gallinari	DEN	53	51	5.3%	0.92	47	5	20	25.0	30.0	43.1%	17.6%	5.9%	0.0%	52.9%	96.7
Dirk Nowitzki	DAL	69	53	4.4%	0.89	47	2	8	25.0	25.0	47.2%	37.7%	0.0%	0.0%	50.9%	94.5
Andrew Wiggins	MIN	75	54	3.4%	0.85	46	7	12	58.3	58.3	35.2%	42.6%	5.6%	0.0%	48.1%	92.8
Kristaps Porzingis	NYK	72	65	5.8%	0.71	46	6	11	54.5	54.5	29.2%	55.4%	3.1%	1.5%	36.9%	77.8
Jrue Holiday	NOP	65	74	6.2%	0.62	46	8	27	29.6	35.2	21.6%	41.9%	4.1%	0.0%	32.4%	68.7
CJ McCollum	POR	74	58	3.6%	0.78	45	9	20	45.0	50.0	25.9%	41.4%	1.7%	1.7%	39.7%	86.4
Rajon Rondo	SAC	71	99	8.9%	0.45	45	7	15	46.7	46.7	28.3%	56.6%	1.0%	0.0%	30.3%	43.7
Tristan Thompson	CLE	76	65	11.7%	0.68	44	5	8	62.5	62.5	43.1%	44.6%	0.0%	0.0%	41.5%	74.8
JJ Redick	LAC	70	36	3.6%	1.19	43	3	7	42.9	64.3	52.8%	27.8%	0.0%	0.0%	61.1%	99.4
Kyrie Irving	CLE	49	46	4.7%	0.93	43	7	16	43.8	50.0	32.6%	34.8%	4.3%	2.2%	45.7%	97.5
Jonas Valanciunas	TOR	54	54	8.5%	0.80	43	7	8	87.5	87.5	35.2%	50.0%	1.9%	0.0%	48.1%	89.2
Deron Williams	DAL	62	55	5.7%	0.78	43	5	14	35.7	35.7	32.7%	43.6%	7.3%	1.8%	40.0%	87.3
Mario Chalmers	MEM	55	56	9.0%	0.77	43	4	11	36.4	36.4	35.7%	46.4%	3.6%	1.8%	41.1%	84.8
Robert Covington	PHI	62	70	8.5%	0.61	43	12	26	46.2	50.0	17.1%	48.6%	5.7%	2.9%	31.4%	66.5
Karl-Anthony Towns	MIN	76	96	7.2%	0.45	43	10	22	45.5	50.0	12.5%	65.6%	2.1%	1.0%	21.9%	42.1
Mason Plumlee	POR	76	97	12.7%	0.44	43	6	21	28.6	28.6	28.9%	49.5%	3.1%	0.0%	28.9%	41.0
Raymond Felton	DAL	74	49	6.2%	0.86	42	4	9	44.4	44.4	38.8%	42.9%	2.0%	0.0%	44.9%	93.6
Gordon Hayward	UTA	74	56	3.8%	0.75	42	4	16	25.0	31.3	35.7%	35.7%	0.0%	0.0%	41.1%	83.1
Devin Booker	PHX	69	82	8.2%	0.51	42	6	17	35.3	38.2	23.2%	57.3%	8.5%	1.2%	29.3%	51.0
Jeremy Lin	CHA	71	52	5.7%	0.79	41	2	12	16.7	16.7	38.5%	38.5%	0.0%	0.0%	42.3%	88.1
Greg Monroe	MIL	74	56	4.9%	0.73	41	11	16	68.8	68.8	19.6%	53.6%	3.6%	1.8%	37.5%	80.8
Marvin Williams	CHA	74	57	7.2%	0.72	41	2	9	22.2	27.8	38.6%	45.6%	1.8%	0.0%	40.4%	78.9
Kentavious Caldwell-Pope	DET	71	52	4.7%	0.77	40	5	19	26.3	26.3	32.7%	32.7%	5.8%	1.9%	40.4%	85.3
Bradley Beal	WAS	51	52	5.7%	0.77	40	6	17	35.3	35.3	30.8%	38.5%	5.8%	1.9%	40.4%	85.3
Jae Crowder	BOS	67	60	6.5%	0.67	40	7	21	33.3	35.7	23.3%	43.3%	8.3%	1.7%	33.3%	74.0
Bismack Biyombo	TOR	74	69	16.1%	0.58	40	2	10	20.0	20.0	34.8%	52.2%	2.9%	1.4%	34.8%	62.0
Monta Ellis	IND	76	70	5.6%	0.57	40	6	18	33.3	38.9	21.4%	54.3%	2.9%	1.4%	28.6%	61.1
Marcus Morris	DET	75	75	6.7%	0.53	40	3	15	20.0	23.3	30.7%	49.3%	0.0%	0.0%	32.0%	55.7
Jimmy Butler	CHI	60	53	4.3%	0.74	39	5	18	27.8	33.3	30.2%	35.8%	0.0%	0.0%	37.7%	82.0
Elfrid Payton	ORL	67	66	7.3%	0.59	39	10	20	50.0	50.0	21.2%	51.5%	7.6%	3.0%	31.8%	63.2
Rudy Gobert	UTA	56	87	15.4%	0.43	37	1	5	20.0	20.0	34.5%	59.8%	2.3%	0.0%	29.9%	37.7
Julius Randle	LAL	74	58	5.7%	0.62	36	10	15	66.7	66.7	24.1%	51.7%	5.2%	1.7%	37.9%	68.2
Kawhi Leonard	SAS	67	39	3.2%	0.90	35	4	7	57.1	64.3	38.5%	43.6%	10.3%	0.0%	48.7%	95.3
Brook Lopez	BKN	73	71	4.7%	0.49	35	6	17	35.3	38.2	19.7%	56.3%	2.8%	0.0%	26.8%	49.0
Kenneth Faried	DEN	63	72	9.2%	0.49	35	8	21	38.1	38.1	20.8%	50.0%	0.0%	0.0%	31.9%	48.2
Gorgui Dieng	MIN	76	85	11.2%	0.41	35	8	15	53.3	53.3	15.3%	68.2%	3.5%	1.2%	21.2%	35.1
Wesley Matthews	DAL	72	40	4.4%	0.85	34	7	15	46.7	63.3	22.5%	40.0%	5.0%	0.0%	40.0%	92.5
Avery Bradley	BOS	71	43	3.9%	0.79	34	9	14	64.3	71.4	18.6%	48.8%	2.3%	0.0%	39.5%	88.6
Nicolas Batum	CHA	66	65	5.9%	0.52	34	7	11	63.6	68.2	18.5%	66.2%	3.1%	1.5%	27.7%	52.9
Ian Mahinmi	IND	66	68	11.4%	0.50	34	6	7	85.7	85.7	30.9%	58.8%	0.0%	0.0%	30.9%	49.9
Mike Conley	MEM	56	42	4.8%	0.79	33	4	10	40.0	45.0	33.3%	42.9%	9.5%	0.0%	42.9%	87.8
Jamal Crawford	LAC	75	43	3.9%	0.77	33	3	18	16.7	19.4	32.6%	25.6%	2.3%	0.0%	39.5%	84.5
Aron Baynes	DET	75	53	11.0%	0.62	33	5	6	83.3	83.3	28.3%	60.4%	0.0%	0.0%	35.8%	69.0
Derrick Rose	CHI	63	55	4.4%	0.60	33	10	24	41.7	41.7	14.5%	43.6%	3.6%	1.8%	30.9%	64.3
