Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Brook Lopez	BKN	73	448	29.8%	0.95	426	164	324	50.6	50.6	16.3%	16.1%	14.1%	4.7%	47.5%	78.5
LaMarcus Aldridge	SAS	69	396	33.2%	1.02	404	152	310	49.0	49.0	16.4%	7.8%	14.4%	2.5%	51.8%	89.0
Dirk Nowitzki	DAL	69	360	29.6%	1.03	372	140	293	47.8	47.8	15.3%	6.9%	13.1%	3.6%	50.6%	90.9
DeMarcus Cousins	SAC	63	357	19.7%	0.96	342	113	231	48.9	48.9	24.9%	14.6%	18.8%	4.5%	50.4%	79.5
Greg Monroe	MIL	74	387	33.9%	0.87	335	136	298	45.6	45.6	13.2%	12.4%	11.1%	2.6%	44.7%	58.9
Marc Gasol	MEM	52	376	40.2%	0.89	334	114	276	41.3	41.3	18.4%	12.0%	14.6%	3.7%	44.7%	64.8
Carmelo Anthony	NYK	69	350	21.9%	0.89	313	109	262	41.6	41.6	18.6%	10.0%	15.4%	3.4%	46.3%	67.6
Zach Randolph	MEM	62	366	37.4%	0.85	312	128	288	44.4	44.4	9.6%	11.7%	6.6%	0.3%	44.0%	55.7
Nikola Vucevic	ORL	60	327	28.9%	0.92	302	136	270	50.4	50.4	6.7%	11.0%	3.4%	0.6%	47.1%	75.3
Kevin Love	CLE	72	283	24.1%	0.99	281	100	202	49.5	49.5	19.4%	12.7%	14.8%	3.5%	50.9%	83.6
Andre Drummond	DET	76	381	27.2%	0.74	281	128	317	40.4	40.4	9.2%	8.7%	8.4%	1.3%	38.6%	30.1
Jahil Okafor	PHI	53	315	32.0%	0.85	268	112	239	46.9	46.9	12.1%	15.9%	10.2%	3.8%	43.2%	53.4
Paul Millsap	ATL	76	218	16.2%	1.06	232	82	154	53.2	53.2	21.1%	11.9%	18.8%	4.6%	53.2%	94.1
Al Jefferson	CHA	41	257	51.1%	0.89	228	99	221	44.8	44.8	10.5%	5.8%	10.5%	2.3%	45.9%	64.4
Dwight Howard	HOU	65	276	30.3%	0.82	227	90	189	47.6	47.6	19.9%	16.7%	17.0%	5.4%	43.8%	45.2
Robin Lopez	NYK	77	241	30.2%	0.91	219	90	177	50.8	50.8	11.2%	17.8%	8.3%	2.5%	46.1%	72.1
Karl-Anthony Towns	MIN	76	234	17.7%	0.93	218	91	192	47.4	47.4	11.5%	9.4%	9.4%	3.0%	47.4%	76.7
Anthony Davis	NOP	61	262	18.4%	0.78	205	69	192	35.9	35.9	16.0%	11.8%	11.1%	1.1%	40.8%	36.5
Boris Diaw	SAS	74	189	38.0%	1.05	199	88	141	62.4	62.4	10.6%	18.0%	9.0%	3.2%	52.4%	91.8
Pau Gasol	CHI	67	246	20.4%	0.80	197	77	192	40.1	40.1	13.0%	13.0%	11.4%	4.1%	40.2%	42.9
Ryan Anderson	NOP	66	195	17.5%	1.01	196	78	157	49.7	49.7	12.8%	9.2%	11.8%	2.6%	50.3%	88.1
Derrick Favors	UTA	58	222	22.7%	0.85	189	78	179	43.6	43.6	12.2%	9.9%	10.4%	2.7%	44.1%	53.9
Andrew Wiggins	MIN	75	192	12.0%	0.96	185	62	134	46.3	46.3	23.4%	10.4%	18.8%	3.6%	50.0%	80.8
Kevin Durant	OKC	68	144	8.4%	1.25	180	69	112	61.6	61.6	17.4%	7.6%	12.5%	2.8%	62.5%	99.1
Russell Westbrook	OKC	76	182	9.3%	0.97	177	61	131	46.6	46.6	17.6%	11.0%	15.4%	0.5%	49.5%	81.3
Thaddeus Young	BKN	73	187	15.9%	0.93	173	78	156	50.0	50.0	7.0%	10.7%	5.9%	1.1%	46.5%	76.3
Kawhi Leonard	SAS	67	161	13.3%	1.03	166	63	127	49.6	49.6	15.5%	9.3%	11.8%	3.7%	50.9%	90.4
Alex Len	PHX	71	230	29.0%	0.70	162	52	145	35.9	35.9	17.8%	20.4%	15.2%	2.2%	37.4%	24.7
LeBron James	CLE	72	183	10.3%	0.87	159	68	148	45.9	45.9	10.4%	10.9%	7.7%	2.2%	44.8%	60.3
Arron Afflalo	NYK	66	153	17.4%	1.03	157	67	126	53.2	53.2	11.8%	11.1%	10.5%	5.2%	50.3%	89.5
Marcus Morris	DET	75	156	13.9%	0.99	154	58	125	46.4	46.4	17.9%	4.5%	14.7%	2.6%	51.9%	83.1
Jonas Valanciunas	TOR	54	175	27.5%	0.85	149	64	136	47.1	47.1	10.3%	15.4%	9.1%	3.4%	43.4%	54.3
Enes Kanter	OKC	76	160	18.8%	0.91	145	56	115	48.7	48.7	16.3%	15.0%	14.4%	3.1%	46.3%	70.8
Hassan Whiteside	MIA	66	188	22.1%	0.77	145	64	144	44.4	44.4	8.0%	18.1%	7.4%	3.2%	37.8%	34.2
Kobe Bryant	LAL	59	163	14.1%	0.87	141	59	146	40.4	40.4	9.2%	3.1%	8.6%	1.8%	43.6%	58.4
Taj Gibson	CHI	73	156	24.3%	0.89	139	62	122	50.8	50.8	11.5%	13.5%	9.0%	3.2%	45.5%	66.2
Jordan Hill	IND	71	168	24.5%	0.83	139	63	137	46.0	46.0	8.3%	10.1%	5.4%	0.0%	43.5%	46.6
Al Horford	ATL	77	159	14.0%	0.87	138	58	125	46.4	46.4	8.2%	15.1%	6.9%	1.9%	42.8%	59.8
Kristaps Porzingis	NYK	72	168	15.0%	0.82	138	53	131	40.5	40.5	11.3%	12.5%	8.3%	1.8%	41.1%	44.7
Nene Hilario	WAS	52	155	32.3%	0.88	136	54	106	50.9	50.9	16.8%	15.5%	13.5%	0.6%	46.5%	63.5
Nikola Jokic	DEN	74	147	19.8%	0.92	135	51	112	45.5	45.5	15.6%	12.2%	11.6%	4.1%	45.6%	73.1
Dwyane Wade	MIA	68	153	10.5%	0.88	134	52	123	42.3	42.3	13.7%	8.5%	11.8%	2.6%	44.4%	63.0
Blake Griffin	LAC	30	155	21.9%	0.86	133	51	118	43.2	43.2	16.1%	10.3%	12.9%	2.6%	46.5%	57.5
DeMar DeRozan	TOR	74	151	8.6%	0.85	128	42	111	37.8	37.8	21.2%	10.6%	19.2%	5.3%	43.7%	52.5
Jared Sullinger	BOS	75	150	16.1%	0.84	126	50	119	42.0	42.0	13.3%	10.7%	11.3%	3.3%	42.7%	50.9
Tim Duncan	SAS	56	137	26.2%	0.90	123	49	110	44.5	44.5	13.1%	9.5%	13.1%	2.9%	46.0%	68.9
Marcin Gortat	WAS	70	137	14.9%	0.89	122	51	112	45.5	45.5	10.9%	8.8%	8.8%	1.5%	45.3%	65.8
Rudy Gay	SAC	66	126	10.8%	0.96	121	50	100	50.0	50.0	11.9%	11.1%	9.5%	2.4%	49.2%	79.9
Gorgui Dieng	MIN	76	120	15.8%	0.91	109	38	83	45.8	45.8	16.7%	15.8%	11.7%	1.7%	46.7%	71.7
Myles Turner	IND	52	122	21.2%	0.89	109	48	109	44.0	44.0	7.4%	5.7%	7.4%	2.5%	44.3%	67.1
David West	SAS	72	100	20.2%	1.06	106	45	82	54.9	54.9	13.0%	10.0%	11.0%	5.0%	52.0%	93.2
Andrew Nicholson	ORL	45	112	32.0%	0.95	106	48	96	50.0	50.0	6.3%	9.8%	4.5%	1.8%	47.3%	78.1
