Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Anthony Davis	NOP	61	352	24.7%	1.06	373	149	296	50.3	52.2	13.4%	4.5%	13.1%	2.0%	52.0%	62.6
Al Horford	ATL	77	284	25.0%	1.12	318	139	259	53.7	56.4	6.7%	3.9%	6.3%	1.8%	53.5%	74.3
Karl-Anthony Towns	MIN	76	335	25.3%	0.95	317	133	283	47.0	47.9	9.9%	9.0%	9.3%	3.3%	46.3%	37.4
Brook Lopez	BKN	73	319	21.2%	0.99	315	136	277	49.1	49.1	10.7%	6.3%	10.7%	3.8%	48.9%	47.7
DeMarcus Cousins	SAC	63	268	14.8%	1.00	267	99	209	47.4	49.5	16.8%	8.6%	16.4%	3.4%	49.3%	48.1
Chris Bosh	MIA	53	235	24.4%	1.11	260	91	195	46.7	54.1	15.3%	5.1%	14.9%	3.4%	50.6%	72.0
Serge Ibaka	OKC	74	272	27.8%	0.96	260	119	241	49.4	49.4	5.5%	7.0%	5.5%	1.1%	47.8%	40.4
Marcin Gortat	WAS	70	214	23.3%	1.20	257	112	184	60.9	60.9	13.1%	5.6%	12.6%	4.7%	59.3%	86.0
Derrick Favors	UTA	58	221	22.6%	1.10	244	98	179	54.7	54.7	16.7%	6.8%	14.5%	4.5%	55.2%	71.0
Paul Millsap	ATL	76	243	18.1%	1.00	244	88	198	44.4	51.8	12.8%	8.6%	11.1%	2.9%	45.3%	52.8
DeAndre Jordan	LAC	72	168	20.1%	1.42	238	103	125	82.4	82.4	25.0%	6.5%	23.8%	6.0%	75.0%	97.2
Pau Gasol	CHI	67	249	20.7%	0.95	237	100	213	46.9	47.2	10.0%	6.0%	7.6%	1.6%	48.6%	38.8
Hassan Whiteside	MIA	66	163	19.2%	1.39	227	99	134	73.9	73.9	14.7%	8.0%	12.9%	4.9%	69.3%	95.8
Dirk Nowitzki	DAL	69	221	18.2%	1.03	227	87	199	43.7	51.5	5.9%	5.0%	5.4%	0.9%	44.3%	56.5
Marc Gasol	MEM	52	207	22.1%	1.09	225	94	175	53.7	53.7	11.6%	6.8%	9.2%	2.9%	53.6%	66.4
Jason Smith	ORL	69	218	40.0%	1.03	225	106	201	52.7	52.7	3.2%	4.6%	3.2%	0.0%	51.8%	57.0
Thaddeus Young	BKN	73	212	18.1%	1.04	221	104	186	55.9	56.2	4.7%	8.5%	4.7%	0.9%	51.9%	59.3
LaMarcus Aldridge	SAS	69	242	20.3%	0.87	211	90	207	43.5	43.5	9.1%	6.6%	9.5%	1.7%	44.2%	22.0
Andre Drummond	DET	76	183	13.1%	1.10	202	91	144	63.2	63.2	16.9%	6.6%	16.9%	3.3%	57.9%	70.6
Cody Zeller	CHA	67	162	28.2%	1.20	194	70	122	57.4	57.4	22.2%	6.8%	20.4%	4.3%	61.1%	85.0
Enes Kanter	OKC	76	175	20.5%	1.09	190	78	143	54.5	54.5	13.1%	8.6%	13.1%	3.4%	53.7%	65.7
Nikola Vucevic	ORL	60	198	17.5%	0.92	182	85	176	48.3	48.3	4.5%	8.6%	4.5%	2.0%	45.5%	31.8
Ryan Anderson	NOP	66	168	15.1%	1.07	179	59	140	42.1	51.4	13.1%	6.0%	12.5%	2.4%	45.8%	63.1
Kevin Love	CLE	72	181	15.4%	0.93	168	59	151	39.1	47.0	10.5%	6.1%	10.5%	0.0%	42.5%	34.1
Kristaps Porzingis	NYK	72	153	13.7%	1.07	164	64	127	50.4	58.7	7.2%	9.2%	7.2%	0.7%	47.7%	64.0
Gorgui Dieng	MIN	76	168	22.1%	0.96	162	61	126	48.4	48.4	15.5%	13.1%	14.3%	3.6%	47.6%	43.0
Jon Leuer	PHX	63	133	24.4%	1.19	158	63	115	54.8	62.2	7.5%	7.5%	6.0%	1.5%	52.6%	84.6
Steven Adams	OKC	74	138	25.3%	1.12	155	70	111	63.1	63.1	11.6%	10.1%	12.3%	2.9%	57.2%	75.2
Mason Plumlee	POR	76	160	21.0%	0.96	153	51	100	51.0	51.0	25.6%	16.9%	21.9%	5.0%	51.3%	41.1
Meyers Leonard	POR	61	140	26.4%	1.09	152	63	130	48.5	57.3	1.4%	6.4%	1.4%	0.7%	45.7%	65.7
