"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"1","Shot Chart Detail",21400014,50,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,29,"Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",10,-8.1,12.45,1,"made",1,2
"2","Shot Chart Detail",21400014,74,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,5,9,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,6.5,29.85,1,"missed",0,3
"3","Shot Chart Detail",21400014,176,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,8,49,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2.3,6.75,1,"made",1,2
"4","Shot Chart Detail",21400014,205,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,6,43,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.1,5.95,1,"made",1,2
"5","Shot Chart Detail",21400014,227,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,5,36,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-16.4,23.95,1,"missed",0,3
"6","Shot Chart Detail",21400014,238,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,59,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",10,-0.4,15.45,1,"missed",0,2
"7","Shot Chart Detail",21400014,305,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,1,6,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",8,-7.8,8.65,1,"missed",0,2
"8","Shot Chart Detail",21400014,349,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,18,"Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-22.9,7.85,1,"missed",0,3
"9","Shot Chart Detail",21400014,378,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,8,2,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-5.4,29.85,1,"missed",0,3
"10","Shot Chart Detail",21400014,431,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,4,26,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,-1.8,29.85,1,"made",1,3
"11","Shot Chart Detail",21400014,454,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,2,33,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,1.8,7.15,1,"missed",0,2
"12","Shot Chart Detail",21400014,492,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,0,42,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,3.7,29.95,1,"missed",0,3
"13","Shot Chart Detail",21400014,566,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,5,58,"Made Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,3.4,7.45,1,"made",1,2
"14","Shot Chart Detail",21400014,588,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,3,27,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-2.6,6.95,1,"made",1,2
"15","Shot Chart Detail",21400014,599,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,2,12,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-16.4,25.25,1,"missed",0,3
"16","Shot Chart Detail",21400014,605,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,1,31,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,22.5,15.15,1,"made",1,3
"17","Shot Chart Detail",21400014,615,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,0,30,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,20.9,17.85,1,"missed",0,3
"18","Shot Chart Detail",21400038,8,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,10,44,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,-2.3,8.85,1,"missed",0,2
"19","Shot Chart Detail",21400038,41,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,52,"Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",19,-13.8,18.45,1,"made",1,2
"20","Shot Chart Detail",21400038,47,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,21,"Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,0,30.65,1,"missed",0,3
"21","Shot Chart Detail",21400038,50,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,3,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,6.2,8.95,1,"missed",0,2
"22","Shot Chart Detail",21400038,62,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,5,2,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-12.3,28.25,1,"made",1,3
"23","Shot Chart Detail",21400038,77,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,3,46,"Made Shot","Turnaround Bank shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-15.3,16.05,1,"made",1,2
"24","Shot Chart Detail",21400038,79,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,3,19,"Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",11,-3.7,16.05,1,"made",1,2
"25","Shot Chart Detail",21400038,88,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,2,11,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-12.3,28.25,1,"made",1,3
"26","Shot Chart Detail",21400038,94,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,0,48,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",26,-7.6,30.95,1,"missed",0,3
