"","game_id","player_id","team_id","team_name","period","shot_distance","loc_x","loc_y"
"1","0041400221","203919","1610612763","Memphis Grizzlies","4",23,23.3,9.45
"2","0041400224","203919","1610612763","Memphis Grizzlies","4",21,11.1,23.55
"3","0041400225","203919","1610612763","Memphis Grizzlies","4",16,1.3,21.45
"4","0041400221","2754","1610612763","Memphis Grizzlies","1",3,2.4,7.85
"5","0041400221","2754","1610612763","Memphis Grizzlies","1",2,1.3,6.95
"6","0041400221","2754","1610612763","Memphis Grizzlies","1",2,0.4,7.75
"7","0041400221","2754","1610612763","Memphis Grizzlies","1",1,-0.8,4.65
"8","0041400221","2754","1610612763","Memphis Grizzlies","1",2,0.9,7.75
"9","0041400221","2754","1610612763","Memphis Grizzlies","2",0,0,5.35
"10","0041400221","2754","1610612763","Memphis Grizzlies","3",5,4.8,8.65
"11","0041400221","2754","1610612763","Memphis Grizzlies","3",0,0.2,4.75
"12","0041400221","2754","1610612763","Memphis Grizzlies","4",8,-3.7,13.25
"13","0041400221","2754","1610612763","Memphis Grizzlies","4",7,-3.2,12.35
"14","0041400221","2754","1610612763","Memphis Grizzlies","4",3,-0.5,8.65
"15","0041400222","2754","1610612763","Memphis Grizzlies","1",1,-1.8,5.95
"16","0041400222","2754","1610612763","Memphis Grizzlies","2",3,0,9.15
"17","0041400222","2754","1610612763","Memphis Grizzlies","2",1,0.7,6.35
"18","0041400222","2754","1610612763","Memphis Grizzlies","3",24,23.4,11.55
"19","0041400222","2754","1610612763","Memphis Grizzlies","4",1,-1.1,6.65
"20","0041400222","2754","1610612763","Memphis Grizzlies","4",2,-1.1,7.45
"21","0041400222","2754","1610612763","Memphis Grizzlies","4",0,0,5.35
"22","0041400223","2754","1610612763","Memphis Grizzlies","1",17,14.9,13.85
"23","0041400223","2754","1610612763","Memphis Grizzlies","2",2,-2.6,5.65
"24","0041400223","2754","1610612763","Memphis Grizzlies","2",1,1.8,5.95
"25","0041400223","2754","1610612763","Memphis Grizzlies","2",0,-0.7,5.35
"26","0041400223","2754","1610612763","Memphis Grizzlies","3",15,-15.8,4.45
"27","0041400223","2754","1610612763","Memphis Grizzlies","3",1,1,6.15
"28","0041400223","2754","1610612763","Memphis Grizzlies","4",3,2.3,7.45
"29","0041400223","2754","1610612763","Memphis Grizzlies","4",0,-0.2,6.15
"30","0041400224","2754","1610612763","Memphis Grizzlies","1",19,14.9,17.35
"31","0041400224","2754","1610612763","Memphis Grizzlies","1",22,22.3,2.75
"32","0041400224","2754","1610612763","Memphis Grizzlies","1",22,22.5,3.85
"33","0041400224","2754","1610612763","Memphis Grizzlies","1",24,23,14.55
"34","0041400224","2754","1610612763","Memphis Grizzlies","2",2,2.3,5.55
"35","0041400224","2754","1610612763","Memphis Grizzlies","2",0,0.1,5.65
"36","0041400224","2754","1610612763","Memphis Grizzlies","3",1,-1.5,5.85
"37","0041400224","2754","1610612763","Memphis Grizzlies","3",14,13.8,9.65
"38","0041400224","2754","1610612763","Memphis Grizzlies","3",1,1.5,5.55
"39","0041400226","2754","1610612763","Memphis Grizzlies","1",17,17.1,4.65
"40","0041400226","2754","1610612763","Memphis Grizzlies","1",16,-4.1,21.25
"41","0041400226","2754","1610612763","Memphis Grizzlies","1",1,-1,5.65
"42","0041400221","1713","1610612763","Memphis Grizzlies","2",4,-2.6,8.65
"43","0041400221","1713","1610612763","Memphis Grizzlies","2",25,18.4,22.75
"44","0041400221","1713","1610612763","Memphis Grizzlies","2",9,1,14.35
"45","0041400221","1713","1610612763","Memphis Grizzlies","3",10,-10.5,7.55
"46","0041400221","1713","1610612763","Memphis Grizzlies","4",15,10,17.55
"47","0041400221","1713","1610612763","Memphis Grizzlies","4",1,-0.6,6.15
"48","0041400221","1713","1610612763","Memphis Grizzlies","4",26,11,29.35
"49","0041400222","1713","1610612763","Memphis Grizzlies","2",2,-2.1,5.65
"50","0041400222","1713","1610612763","Memphis Grizzlies","2",1,0,6.35
"51","0041400222","1713","1610612763","Memphis Grizzlies","3",17,6.7,21.65
"52","0041400222","1713","1610612763","Memphis Grizzlies","3",27,-7.8,32.05
"53","0041400223","1713","1610612763","Memphis Grizzlies","1",4,-2.3,9.45
"54","0041400223","1713","1610612763","Memphis Grizzlies","2",10,-9.7,10.25
"55","0041400223","1713","1610612763","Memphis Grizzlies","2",24,-17.9,21.45
"56","0041400223","1713","1610612763","Memphis Grizzlies","2",0,0.7,5.55
"57","0041400223","1713","1610612763","Memphis Grizzlies","4",24,19.8,19.45
"58","0041400224","1713","1610612763","Memphis Grizzlies","2",2,-2.7,5.55
"59","0041400224","1713","1610612763","Memphis Grizzlies","2",15,-0.7,21.15
"60","0041400224","1713","1610612763","Memphis Grizzlies","2",2,2.1,5.05
"61","0041400224","1713","1610612763","Memphis Grizzlies","3",6,6.9,5.95
"62","0041400224","1713","1610612763","Memphis Grizzlies","3",1,-1,4.75
"63","0041400224","1713","1610612763","Memphis Grizzlies","4",24,0,29.85
"64","0041400224","1713","1610612763","Memphis Grizzlies","4",24,-2.1,29.35
"65","0041400224","1713","1610612763","Memphis Grizzlies","4",12,11.1,11.05
"66","0041400224","1713","1610612763","Memphis Grizzlies","4",24,2.3,29.85
"67","0041400225","1713","1610612763","Memphis Grizzlies","1",24,11,27.45
