Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Los Angeles Lakers	74	1783	22.30%	0.85	1524	546	1337	40.8	45.1	11.60%	14.90%	10.90%	1.70%	40.20%	79.3
Portland Trail Blazers	75	1671	20.40%	0.88	1469	561	1333	42.1	46.6	8.70%	13.30%	7.40%	1.90%	40.30%	93.1
Toronto Raptors	73	1562	20.30%	0.91	1426	522	1172	44.5	46.8	14.00%	13.10%	12.20%	2.20%	44.80%	96.6
New Orleans Pelicans	73	1665	21.00%	0.85	1420	556	1329	41.8	45.6	8.10%	13.60%	6.80%	1.70%	39.60%	75.9
Detroit Pistons	75	1674	20.20%	0.82	1371	555	1322	42	44.9	7.80%	15.10%	7.10%	2.00%	38.80%	55.2
Charlotte Hornets	74	1580	20.00%	0.86	1354	504	1199	42	46	10.60%	15.00%	8.70%	1.70%	40.50%	82.8
Los Angeles Clippers	73	1456	18.70%	0.87	1271	504	1144	44.1	47.3	8.20%	14.70%	5.80%	1.40%	41.10%	89.7
Chicago Bulls	74	1496	18.30%	0.82	1232	492	1200	41	43.3	8.80%	13.00%	8.10%	1.90%	39.30%	65.5
Oklahoma City Thunder	75	1428	16.90%	0.85	1213	444	1034	42.9	47	10.80%	18.60%	9.40%	2.00%	39.60%	72.4
Cleveland Cavaliers	74	1394	17.80%	0.82	1145	473	1105	42.8	46	6.50%	15.60%	5.70%	1.50%	38.80%	58.6
Indiana Pacers	74	1448	17.90%	0.79	1139	442	1140	38.8	42.1	8.00%	14.40%	6.60%	1.20%	37.00%	41.4
Washington Wizards	74	1478	18.40%	0.77	1138	474	1167	40.6	42.6	7.00%	15.30%	6.30%	1.40%	37.30%	24.1
Utah Jazz	74	1423	18.30%	0.79	1123	412	1043	39.5	42.7	10.80%	17.50%	8.70%	1.80%	37.60%	44.8
Dallas Mavericks	74	1380	17.50%	0.8	1103	433	1050	41.2	44.4	8.70%	17.00%	7.20%	1.70%	38.00%	48.3
Phoenix Suns	74	1391	16.90%	0.78	1085	404	1027	39.3	43	9.30%	18.10%	7.80%	1.40%	36.40%	37.9
Denver Nuggets	75	1442	17.50%	0.75	1075	399	1043	38.3	41.9	9.20%	19.80%	8.00%	1.50%	35.00%	10.3
Miami Heat	73	1268	16.60%	0.81	1032	413	930	44.4	45.2	10.30%	17.70%	8.90%	1.50%	40.90%	51.7
Atlanta Hawks	75	1344	16.70%	0.75	1011	382	993	38.5	41	9.50%	18.10%	8.40%	1.60%	36.30%	13.8
Orlando Magic	74	1302	16.20%	0.74	958	370	958	38.6	40.3	9.80%	18.00%	8.40%	1.50%	36.30%	6.9
Memphis Grizzlies	74	1163	14.80%	0.82	956	342	868	39.4	41.8	13.00%	14.00%	10.80%	1.70%	40.40%	62.1
Boston Celtics	74	1207	14.40%	0.78	939	349	899	38.8	41.8	9.60%	17.00%	7.50%	1.20%	37.10%	34.5
Houston Rockets	75	1116	13.40%	0.84	932	315	757	41.6	45.4	12.00%	21.20%	10.50%	1.20%	39.00%	69
Minnesota Timberwolves	74	1211	15.20%	0.77	927	336	881	38.1	40	12.10%	16.40%	10.00%	1.70%	37.90%	20.7
San Antonio Spurs	74	1065	13.80%	0.87	923	384	827	46.4	48.1	7.70%	16.00%	5.50%	1.40%	42.30%	86.2
Brooklyn Nets	74	1177	14.90%	0.77	910	350	851	41.1	43.2	9.30%	19.60%	7.20%	1.30%	37.60%	27.6
Golden State Warriors	74	856	10.40%	0.98	836	307	674	45.5	54.3	7.80%	15.30%	6.90%	2.00%	41.60%	100
Philadelphia 76ers	75	1148	14.00%	0.68	781	319	850	37.5	40.4	6.40%	20.80%	5.60%	1.20%	32.40%	0
Sacramento Kings	74	987	11.80%	0.78	767	320	723	44.3	47	6.70%	21.00%	5.50%	1.00%	37.40%	31
Milwaukee Bucks	74	982	12.50%	0.73	712	300	733	40.9	42.4	6.80%	19.90%	6.00%	1.40%	35.60%	3.4
New York Knicks	75	844	10.60%	0.76	645	254	662	38.4	40.9	7.80%	14.60%	6.60%	1.10%	36.50%	17.2
