Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Utah Jazz	74	590	7.6%	0.81	478	185	476	38.9	44.5	6.1%	13.7%	5.3%	0.7%	36.6%	10.3
Boston Celtics	74	526	6.3%	0.84	440	157	416	37.7	42.4	9.7%	12.4%	8.0%	1.1%	38.4%	24.1
Charlotte Hornets	74	445	5.6%	0.96	425	151	369	40.9	47.7	10.3%	8.8%	9.7%	2.0%	42.0%	93.1
Philadelphia 76ers	75	434	5.3%	0.89	387	142	335	42.4	48.7	9.0%	15.0%	6.9%	1.2%	40.3%	62.1
Denver Nuggets	75	425	5.2%	0.91	386	140	341	41.1	49.6	7.5%	13.4%	5.9%	1.2%	39.3%	75.9
Chicago Bulls	74	430	5.3%	0.90	386	147	351	41.9	48.4	6.7%	13.3%	5.8%	1.6%	38.8%	65.5
Los Angeles Clippers	73	430	5.5%	0.88	380	146	355	41.1	46.1	7.7%	10.5%	6.5%	1.2%	40.5%	55.2
Portland Trail Blazers	75	448	5.5%	0.85	380	147	380	38.7	44.1	6.7%	9.8%	5.6%	1.6%	37.7%	31.0
Atlanta Hawks	75	354	4.4%	0.93	329	130	284	45.8	51.9	7.1%	14.4%	6.5%	1.7%	41.5%	82.8
Los Angeles Lakers	74	359	4.5%	0.91	327	110	295	37.3	44.2	10.6%	9.5%	9.7%	2.2%	38.7%	79.3
Minnesota Timberwolves	74	332	4.2%	0.94	313	117	280	41.8	48.0	8.4%	8.4%	7.2%	1.2%	42.5%	86.2
Milwaukee Bucks	74	344	4.4%	0.90	311	116	287	40.4	47.6	7.3%	9.9%	5.8%	0.9%	39.5%	72.4
Orlando Magic	74	354	4.4%	0.87	308	126	293	43.0	47.3	5.1%	12.7%	3.1%	0.8%	39.8%	37.9
Indiana Pacers	74	375	4.6%	0.79	295	110	311	35.4	41.0	8.0%	10.7%	6.9%	1.6%	35.2%	6.9
Miami Heat	73	330	4.3%	0.82	271	107	273	39.2	41.6	10.0%	9.4%	9.4%	2.1%	39.7%	13.8
Golden State Warriors	74	248	3.0%	1.08	268	95	198	48.0	57.8	9.7%	12.1%	7.3%	1.6%	46.4%	100.0
New Orleans Pelicans	73	281	3.5%	0.95	266	106	236	44.9	51.5	5.3%	10.7%	4.6%	0.0%	42.7%	89.7
San Antonio Spurs	74	306	4.0%	0.87	266	103	254	40.6	44.3	8.2%	10.1%	7.5%	1.3%	40.5%	34.5
Sacramento Kings	74	293	3.5%	0.90	264	98	246	39.8	45.7	8.5%	10.6%	7.8%	3.1%	38.9%	69.0
Dallas Mavericks	74	289	3.7%	0.87	252	98	245	40.0	48.2	3.5%	11.8%	2.4%	0.0%	37.4%	41.4
Memphis Grizzlies	74	282	3.6%	0.89	250	90	228	39.5	43.9	10.6%	9.2%	9.6%	0.7%	41.8%	58.6
Phoenix Suns	74	337	4.1%	0.72	244	91	281	32.4	38.1	5.9%	12.2%	4.2%	1.5%	31.5%	0.0
New York Knicks	75	275	3.5%	0.82	226	96	241	39.8	42.7	5.1%	8.0%	4.4%	0.7%	38.9%	17.2
Toronto Raptors	73	235	3.1%	0.96	225	74	188	39.4	45.5	13.6%	8.1%	11.5%	1.7%	43.4%	96.6
Houston Rockets	75	262	3.1%	0.85	222	79	203	38.9	46.6	8.0%	15.6%	7.3%	1.1%	36.6%	27.6
Cleveland Cavaliers	74	248	3.2%	0.88	219	77	215	35.8	44.4	5.6%	7.7%	4.8%	0.0%	36.7%	51.7
Washington Wizards	74	229	2.8%	0.88	201	74	174	42.5	48.3	9.2%	16.2%	8.7%	1.3%	40.2%	44.8
Detroit Pistons	75	250	3.0%	0.74	184	71	210	33.8	40.0	4.8%	12.4%	5.2%	1.6%	31.6%	3.4
Brooklyn Nets	74	210	2.7%	0.82	173	73	174	42.0	45.1	6.2%	11.4%	5.2%	0.5%	40.5%	20.7
Oklahoma City Thunder	75	182	2.2%	0.88	160	59	139	42.4	47.8	8.8%	15.9%	6.6%	1.1%	40.1%	48.3
