Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Golden State Warriors	74	656	7.9%	0.61	397	83	164	50.6	57.3	21.2%	54.3%	2.0%	0.5%	31.6%	89.7
Los Angeles Clippers	73	582	7.5%	0.64	371	36	98	36.7	41.3	42.8%	40.5%	1.4%	0.2%	40.9%	96.6
Houston Rockets	75	627	7.5%	0.56	352	48	142	33.8	37.7	30.8%	47.0%	2.7%	0.6%	32.4%	65.5
Detroit Pistons	75	566	6.8%	0.58	330	43	133	32.3	36.8	35.2%	41.9%	2.1%	0.5%	35.3%	75.9
Memphis Grizzlies	74	521	6.6%	0.60	314	50	121	41.3	44.2	25.7%	51.8%	3.8%	1.0%	33.4%	82.8
Denver Nuggets	75	516	6.3%	0.60	312	59	147	40.1	43.9	22.9%	48.8%	3.5%	0.2%	33.1%	86.2
Toronto Raptors	73	453	5.9%	0.66	297	44	119	37.0	40.8	28.9%	45.3%	2.2%	0.4%	36.9%	100.0
Dallas Mavericks	74	454	5.7%	0.64	289	40	99	40.4	43.4	27.5%	51.3%	2.6%	0.7%	34.6%	93.1
Sacramento Kings	74	506	6.0%	0.57	287	43	123	35.0	37.8	28.7%	47.4%	3.2%	0.4%	33.0%	72.4
Minnesota Timberwolves	74	517	6.5%	0.56	287	50	115	43.5	47.0	21.5%	56.9%	3.7%	0.8%	29.8%	55.2
Boston Celtics	74	507	6.1%	0.56	284	49	125	39.2	42.0	23.7%	52.1%	2.2%	0.4%	30.6%	62.1
Indiana Pacers	74	527	6.5%	0.53	280	48	116	41.4	45.3	23.1%	56.0%	3.8%	1.1%	29.0%	37.9
Portland Trail Blazers	75	495	6.0%	0.55	274	50	122	41.0	44.3	22.8%	52.9%	2.6%	0.4%	30.7%	51.7
Charlotte Hornets	74	459	5.8%	0.59	272	25	94	26.6	29.8	29.0%	50.8%	2.4%	0.2%	33.6%	79.3
Orlando Magic	74	498	6.2%	0.54	269	57	138	41.3	42.4	20.3%	53.4%	3.0%	1.4%	29.7%	48.3
Phoenix Suns	74	585	7.1%	0.46	267	51	146	34.9	37.7	18.6%	57.3%	3.4%	0.9%	24.8%	10.3
Oklahoma City Thunder	75	468	5.6%	0.56	263	45	114	39.5	40.8	24.1%	52.6%	2.1%	1.1%	31.2%	69.0
Cleveland Cavaliers	74	480	6.1%	0.53	254	36	94	38.3	43.1	24.2%	57.1%	2.3%	0.8%	28.8%	34.5
New York Knicks	75	488	6.1%	0.52	252	42	98	42.9	44.4	20.1%	60.2%	2.0%	0.4%	27.5%	27.6
Washington Wizards	74	467	5.8%	0.53	249	52	125	41.6	43.6	19.7%	55.0%	4.3%	1.7%	28.1%	44.8
Milwaukee Bucks	74	480	6.1%	0.51	247	57	132	43.2	44.7	16.7%	56.5%	2.5%	0.6%	27.1%	20.7
Miami Heat	73	466	6.1%	0.52	240	36	103	35.0	36.4	23.8%	53.9%	2.4%	0.0%	29.8%	24.1
Atlanta Hawks	75	425	5.3%	0.56	238	39	105	37.1	40.5	22.4%	53.2%	2.8%	0.2%	30.4%	58.6
Los Angeles Lakers	74	442	5.5%	0.53	235	48	132	36.4	40.2	19.7%	51.1%	2.7%	0.7%	29.0%	41.4
New Orleans Pelicans	73	446	5.6%	0.53	235	43	115	37.4	42.2	21.1%	54.0%	3.4%	0.9%	28.7%	31.0
Chicago Bulls	74	485	5.9%	0.47	228	40	120	33.3	34.2	19.2%	56.3%	1.0%	0.2%	26.2%	13.8
Brooklyn Nets	74	418	5.3%	0.50	209	38	106	35.8	37.7	19.6%	56.0%	2.9%	1.0%	27.0%	17.2
Utah Jazz	74	458	5.9%	0.43	197	24	93	25.8	27.4	22.3%	57.9%	2.2%	0.4%	25.3%	3.4
Philadelphia 76ers	75	443	5.4%	0.43	190	47	129	36.4	39.9	14.0%	57.6%	2.5%	0.7%	22.6%	0.0
San Antonio Spurs	74	419	5.4%	0.43	181	25	74	33.8	37.2	21.5%	61.1%	2.6%	0.2%	25.8%	6.9
