person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
203112,Acy, Quincy,Quincy Acy,TRUE,2012,2015,quincy_acy,1610612758,Sacramento,Kings,SAC,kings,Y
203919,Adams, Jordan,Jordan Adams,TRUE,2014,2015,jordan_adams,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
203500,Adams, Steven,Steven Adams,TRUE,2013,2015,steven_adams,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
201167,Afflalo, Arron,Arron Afflalo,TRUE,2007,2015,arron_afflalo,1610612752,New York,Knicks,NYK,knicks,Y
201582,Ajinca, Alexis,Alexis Ajinca,TRUE,2008,2015,alexis_ajinca,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
202332,Aldrich, Cole,Cole Aldrich,TRUE,2010,2015,cole_aldrich,1610612746,Los Angeles,Clippers,LAC,clippers,Y
200746,Aldridge, LaMarcus,LaMarcus Aldridge,TRUE,2006,2015,lamarcus_aldridge,1610612759,San Antonio,Spurs,SAS,spurs,Y
1626146,Alexander, Cliff,Cliff Alexander,TRUE,2015,2015,cliff_alexander,1610612757,Portland,Trail Blazers,POR,blazers,Y
202730,Allen, Lavoy,Lavoy Allen,TRUE,2011,2015,lavoy_allen,1610612754,Indiana,Pacers,IND,pacers,Y
2754,Allen, Tony,Tony Allen,TRUE,2004,2015,tony_allen,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
202329,Aminu, Al-Farouq,Al-Farouq Aminu,TRUE,2010,2015,al-farouq_aminu,1610612757,Portland,Trail Blazers,POR,blazers,Y
200811,Amundson, Lou,Lou Amundson,TRUE,2006,2015,lou_amundson,1610612752,New York,Knicks,NYK,knicks,Y
2365,Andersen, Chris,Chris Andersen,TRUE,2001,2015,chris_andersen,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
101187,Anderson, Alan,Alan Anderson,TRUE,2005,2015,alan_anderson,1610612764,Washington,Wizards,WAS,wizards,Y
202341,Anderson, James,James Anderson,TRUE,2010,2015,james_anderson,1610612758,Sacramento,Kings,SAC,kings,Y
1626147,Anderson, Justin,Justin Anderson,TRUE,2015,2015,justin_anderson,1610612742,Dallas,Mavericks,DAL,mavericks,Y
203937,Anderson, Kyle,Kyle Anderson,TRUE,2014,2015,kyle_anderson,1610612759,San Antonio,Spurs,SAS,spurs,Y
201583,Anderson, Ryan,Ryan Anderson,TRUE,2008,2015,ryan_j_anderson,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
203507,Antetokounmpo, Giannis,Giannis Antetokounmpo,TRUE,2013,2015,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,Y
203648,Antetokounmpo, Thanasis,Thanasis Antetokounmpo,TRUE,2015,2015,thanasis_antetokounmpo,1610612752,New York,Knicks,NYK,knicks,Y
2546,Anthony, Carmelo,Carmelo Anthony,TRUE,2003,2015,carmelo_anthony,1610612752,New York,Knicks,NYK,knicks,Y
201202,Anthony, Joel,Joel Anthony,TRUE,2007,2015,joel_anthony,1610612765,Detroit,Pistons,DET,pistons,Y
2772,Ariza, Trevor,Trevor Ariza,TRUE,2004,2015,trevor_ariza,1610612745,Houston,Rockets,HOU,rockets,Y
201589,Arthur, Darrell,Darrell Arthur,TRUE,2008,2015,darrell_arthur,1610612743,Denver,Nuggets,DEN,nuggets,Y
201600,Asik, Omer,Omer Asik,TRUE,2010,2015,omer_asik,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
201571,Augustin, D.J.,D.J. Augustin,TRUE,2008,2015,dj_augustin,1610612743,Denver,Nuggets,DEN,nuggets,Y
201965,Ayres, Jeff,Jeff Ayres,TRUE,2009,2015,jeff_ayres,1610612746,Los Angeles,Clippers,LAC,clippers,Y
202337,Babbitt, Luke,Luke Babbitt,TRUE,2010,2015,luke_babbitt,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
203946,Bairstow, Cameron,Cameron Bairstow,TRUE,2014,2015,cameron_bairstow,1610612741,Chicago,Bulls,CHI,bulls,Y
2571,Barbosa, Leandro,Leandro Barbosa,TRUE,2003,2015,leandro_barbosa,1610612744,Golden State,Warriors,GSW,warriors,Y
200826,Barea, Jose Juan,Jose Juan Barea,TRUE,2006,2015,jose_barea,1610612742,Dallas,Mavericks,DAL,mavericks,Y
203084,Barnes, Harrison,Harrison Barnes,TRUE,2012,2015,harrison_barnes,1610612744,Golden State,Warriors,GSW,warriors,Y
2440,Barnes, Matt,Matt Barnes,TRUE,2002,2015,matt_barnes,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
203115,Barton, Will,Will Barton,TRUE,2012,2015,will_barton,1610612743,Denver,Nuggets,DEN,nuggets,Y
101138,Bass, Brandon,Brandon Bass,TRUE,2005,2015,brandon_bass,1610612747,Los Angeles,Lakers,LAL,lakers,Y
