Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
San Antonio Spurs	74	1106	14.3%	1.01	1112	437	856	51.1	51.1	15.0%	10.8%	13.0%	3.3%	50.7%	96.6
New York Knicks	75	1156	14.6%	0.87	1003	388	881	44.0	44.0	13.7%	13.5%	11.1%	3.4%	43.9%	65.5
Memphis Grizzlies	74	963	12.3%	0.84	811	300	730	41.1	41.1	14.7%	11.7%	11.2%	2.4%	43.0%	51.7
Brooklyn Nets	74	843	10.7%	0.91	763	304	631	48.2	48.2	13.5%	14.7%	11.4%	3.1%	45.4%	79.3
Minnesota Timberwolves	74	752	9.5%	0.91	688	251	563	44.6	44.6	16.9%	10.8%	13.6%	2.5%	47.2%	82.8
Milwaukee Bucks	74	800	10.2%	0.83	666	272	611	44.5	44.5	12.1%	14.0%	9.9%	2.5%	42.8%	41.4
Dallas Mavericks	74	629	8.0%	0.96	603	228	488	46.7	46.7	14.3%	10.7%	12.2%	2.5%	47.9%	89.7
Detroit Pistons	75	710	8.5%	0.82	581	245	573	42.8	42.8	12.0%	9.2%	10.4%	2.0%	42.8%	27.6
Oklahoma City Thunder	75	562	6.7%	1.02	571	214	415	51.6	51.6	16.5%	11.6%	13.9%	2.0%	51.6%	100.0
Chicago Bulls	74	675	8.3%	0.82	551	218	519	42.0	42.0	13.5%	13.0%	10.2%	3.4%	41.5%	20.7
Cleveland Cavaliers	74	621	7.9%	0.88	547	216	480	45.0	45.0	13.5%	12.1%	10.3%	2.9%	44.9%	69.0
Sacramento Kings	74	586	7.0%	0.92	540	197	409	48.2	48.2	19.1%	14.2%	15.0%	3.2%	48.3%	86.2
Orlando Magic	74	571	7.1%	0.88	505	218	464	47.0	47.0	8.6%	11.4%	6.0%	1.4%	45.0%	72.4
Los Angeles Lakers	74	640	8.0%	0.78	497	181	494	36.6	36.6	15.6%	10.2%	13.9%	3.0%	39.8%	6.9
Denver Nuggets	75	549	6.7%	0.89	490	188	419	44.9	44.9	15.1%	11.8%	11.7%	3.3%	44.8%	75.9
Miami Heat	73	576	7.5%	0.83	476	195	448	43.5	43.5	11.1%	13.5%	10.2%	2.6%	41.7%	34.5
Phoenix Suns	74	644	7.8%	0.73	469	160	429	37.3	37.3	16.1%	18.6%	12.4%	1.7%	38.0%	0.0
Philadelphia 76ers	75	543	6.6%	0.85	462	172	377	45.6	45.6	17.7%	16.2%	14.4%	3.3%	44.9%	55.2
Atlanta Hawks	75	469	5.8%	0.97	457	173	344	50.3	50.3	15.8%	13.6%	14.1%	3.2%	48.8%	93.1
New Orleans Pelicans	73	534	6.7%	0.85	455	171	412	41.5	41.5	13.3%	11.0%	10.3%	1.5%	43.6%	58.6
Houston Rockets	75	531	6.4%	0.83	440	174	384	45.3	45.3	17.1%	14.9%	14.9%	4.5%	42.7%	37.9
Boston Celtics	74	500	6.0%	0.87	433	172	392	43.9	43.9	12.8%	11.0%	10.6%	2.2%	44.4%	62.1
Toronto Raptors	73	507	6.6%	0.80	405	162	390	41.5	41.5	11.8%	14.2%	10.8%	3.0%	40.8%	17.2
Charlotte Hornets	74	480	6.1%	0.84	403	166	387	42.9	42.9	12.3%	9.4%	10.8%	2.5%	43.3%	48.3
Golden State Warriors	74	506	6.1%	0.78	394	157	385	40.8	40.8	13.4%	13.4%	11.5%	3.2%	40.3%	10.3
Indiana Pacers	74	473	5.8%	0.79	372	157	372	42.2	42.2	10.4%	12.9%	8.9%	1.9%	40.6%	13.8
Washington Wizards	74	395	4.9%	0.82	323	133	292	45.5	45.5	13.2%	14.2%	10.9%	1.3%	42.8%	24.1
Los Angeles Clippers	73	343	4.4%	0.83	283	106	250	42.4	42.4	16.9%	12.2%	14.6%	2.0%	44.9%	31.0
Utah Jazz	74	330	4.2%	0.84	277	106	250	42.4	42.4	14.2%	12.7%	11.2%	2.7%	43.3%	44.8
Portland Trail Blazers	75	236	2.9%	0.77	182	73	175	41.7	41.7	11.9%	16.1%	8.5%	2.1%	39.8%	3.4
