Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Brooklyn Nets	74	785	9.9%	0.99	776	341	677	50.4	50.7	9.9%	7.1%	9.8%	3.3%	48.9%	34.5
Oklahoma City Thunder	75	750	8.9%	1.02	763	327	622	52.6	53.5	9.5%	9.3%	9.1%	1.9%	50.5%	51.7
New Orleans Pelicans	73	692	8.7%	1.04	722	272	562	48.4	52.0	14.2%	6.8%	13.6%	2.2%	50.3%	72.4
Atlanta Hawks	75	683	8.5%	1.05	714	288	596	48.3	53.7	8.3%	6.4%	7.5%	2.0%	47.9%	75.9
Orlando Magic	74	699	8.7%	1.01	708	300	611	49.1	52.3	7.6%	6.7%	7.4%	1.9%	48.2%	48.3
Los Angeles Clippers	73	638	8.2%	1.05	672	284	539	52.7	55.7	12.2%	5.8%	11.3%	2.7%	52.0%	82.8
Miami Heat	73	577	7.6%	1.16	669	257	474	54.2	58.2	14.9%	6.6%	14.0%	3.6%	55.3%	100.0
Minnesota Timberwolves	74	676	8.5%	0.97	658	263	556	47.3	49.4	11.4%	9.8%	10.8%	3.4%	46.4%	24.1
Denver Nuggets	75	637	7.7%	1.02	651	262	527	49.7	51.2	14.1%	6.8%	13.3%	3.6%	50.4%	58.6
Dallas Mavericks	74	603	7.6%	1.02	617	238	499	47.7	51.8	12.6%	7.0%	11.1%	2.3%	49.4%	62.1
Charlotte Hornets	74	570	7.2%	1.08	614	232	484	47.9	53.4	12.3%	5.3%	11.6%	2.5%	50.2%	93.1
Boston Celtics	74	625	7.5%	0.97	607	248	526	47.1	50.7	9.9%	8.3%	8.6%	2.4%	46.1%	20.7
Washington Wizards	74	562	7.0%	1.05	592	249	479	52.0	54.1	10.1%	6.9%	9.8%	2.3%	51.4%	86.2
Utah Jazz	74	538	6.9%	1.07	575	227	422	53.8	55.0	16.4%	8.2%	14.5%	3.0%	54.3%	89.7
Cleveland Cavaliers	74	497	6.4%	1.15	572	225	413	54.5	59.4	12.9%	5.8%	12.5%	1.8%	55.5%	96.6
Portland Trail Blazers	75	555	6.8%	1.01	558	208	427	48.7	53.5	15.5%	11.2%	14.6%	3.8%	47.9%	37.9
San Antonio Spurs	74	583	7.6%	0.95	551	235	495	47.5	48.6	9.4%	7.5%	9.1%	2.1%	47.0%	3.4
Philadelphia 76ers	75	549	6.7%	0.96	527	210	431	48.7	51.3	12.6%	11.1%	11.8%	2.2%	48.1%	13.8
Memphis Grizzlies	74	520	6.6%	1.01	526	219	436	50.2	51.1	10.2%	7.5%	8.8%	1.5%	50.4%	41.4
Indiana Pacers	74	547	6.8%	0.96	523	220	463	47.5	48.6	11.7%	6.2%	11.0%	2.6%	48.1%	10.3
Sacramento Kings	74	528	6.3%	0.99	521	205	435	47.1	49.2	13.6%	7.0%	13.3%	3.0%	48.3%	31.0
Phoenix Suns	74	490	5.9%	1.03	506	198	415	47.7	53.3	10.8%	6.9%	10.4%	2.9%	48.0%	69.0
Detroit Pistons	75	494	5.9%	1.02	504	205	399	51.4	54.6	12.6%	7.7%	11.7%	1.8%	50.2%	55.2
Chicago Bulls	74	516	6.3%	0.96	496	202	440	45.9	48.5	9.5%	6.4%	8.1%	1.2%	46.7%	17.2
Toronto Raptors	73	405	5.3%	1.05	426	167	330	50.6	54.2	12.6%	7.7%	11.9%	2.0%	51.1%	79.3
New York Knicks	75	447	5.6%	0.95	426	170	366	46.4	49.9	9.8%	8.9%	9.4%	1.1%	46.1%	6.9
Houston Rockets	75	410	4.9%	1.01	415	172	327	52.6	55.5	15.1%	9.8%	13.7%	4.6%	49.8%	44.8
Los Angeles Lakers	74	430	5.4%	0.94	404	169	366	46.2	46.9	10.9%	6.5%	10.2%	2.6%	47.2%	0.0
Golden State Warriors	74	400	4.8%	0.99	394	148	316	46.8	51.6	14.0%	8.8%	13.5%	2.3%	47.3%	27.6
Milwaukee Bucks	74	380	4.8%	1.02	389	170	316	53.8	54.3	9.7%	8.7%	9.5%	1.6%	51.1%	65.5
