Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Dallas Mavericks	74	1748	22.1%	1.01	1774	635	1606	39.5	51.9	4.1%	4.5%	3.4%	0.5%	39.8%	89.7
San Antonio Spurs	74	1650	21.4%	1.07	1758	650	1489	43.7	55.1	4.4%	6.2%	4.1%	0.9%	42.8%	96.6
Utah Jazz	74	1776	22.8%	0.97	1725	616	1592	38.7	50.4	4.8%	6.4%	4.1%	0.8%	38.5%	65.5
Charlotte Hornets	74	1703	21.6%	0.98	1664	575	1537	37.4	50.0	4.7%	5.5%	4.2%	0.4%	38.0%	69.0
Orlando Magic	74	1709	21.2%	0.96	1647	607	1580	38.4	49.3	3.7%	4.8%	3.5%	1.0%	38.2%	51.7
Atlanta Hawks	75	1694	21.1%	0.97	1644	591	1512	39.1	50.9	4.8%	6.8%	4.0%	0.9%	38.5%	62.1
Houston Rockets	75	1705	20.4%	0.96	1635	571	1550	36.8	49.3	4.2%	5.4%	3.9%	0.5%	37.0%	44.8
Chicago Bulls	74	1603	19.6%	1.01	1615	591	1470	40.2	50.7	4.7%	4.6%	4.4%	1.0%	40.5%	79.3
Philadelphia 76ers	75	1743	21.3%	0.93	1615	554	1522	36.4	47.5	6.8%	7.0%	6.0%	1.2%	36.9%	13.8
Cleveland Cavaliers	74	1545	19.8%	1.04	1614	560	1429	39.2	53.4	3.8%	4.5%	3.2%	0.8%	39.0%	93.1
Boston Celtics	74	1673	20.0%	0.95	1581	557	1505	37.0	47.4	6.0%	5.1%	5.7%	1.0%	38.1%	34.5
Detroit Pistons	75	1536	18.5%	1.01	1558	541	1376	39.3	52.5	5.1%	6.4%	4.5%	1.0%	39.1%	86.2
Portland Trail Blazers	75	1536	18.8%	1.01	1557	545	1388	39.3	52.7	4.3%	6.1%	3.8%	0.7%	38.9%	82.8
Sacramento Kings	74	1649	19.7%	0.94	1555	551	1444	38.2	49.0	5.8%	7.7%	5.0%	1.2%	37.8%	27.6
Toronto Raptors	73	1552	20.2%	1.00	1554	550	1387	39.7	52.6	4.3%	6.9%	4.0%	0.7%	38.7%	72.4
Washington Wizards	74	1570	19.5%	0.97	1522	540	1415	38.2	50.1	4.8%	6.2%	4.5%	1.1%	38.0%	58.6
New York Knicks	75	1566	19.7%	0.97	1517	546	1441	37.9	49.2	4.1%	4.8%	3.6%	0.8%	37.9%	55.2
Miami Heat	73	1570	20.6%	0.96	1508	545	1405	38.8	49.2	5.7%	5.8%	5.4%	1.0%	39.2%	48.3
Golden State Warriors	74	1360	16.5%	1.10	1490	519	1241	41.8	55.8	5.1%	4.5%	4.6%	0.8%	42.4%	100.0
Phoenix Suns	74	1531	18.6%	0.95	1457	515	1366	37.7	49.5	5.0%	6.3%	4.2%	0.6%	37.7%	37.9
Denver Nuggets	75	1603	19.4%	0.90	1446	517	1439	35.9	46.6	4.9%	6.1%	4.4%	0.7%	36.1%	3.4
Brooklyn Nets	74	1444	18.2%	0.94	1364	495	1288	38.4	49.0	5.0%	6.6%	4.2%	1.0%	38.0%	31.0
New Orleans Pelicans	73	1452	18.3%	0.93	1347	496	1310	37.9	47.6	5.5%	5.5%	4.7%	1.3%	37.9%	17.2
Los Angeles Clippers	73	1323	17.0%	1.00	1327	460	1201	38.3	51.7	3.9%	5.9%	3.7%	0.7%	37.9%	75.9
Oklahoma City Thunder	75	1379	16.4%	0.95	1313	475	1275	37.3	49.3	2.8%	5.2%	2.5%	0.4%	36.7%	41.4
Milwaukee Bucks	74	1420	18.1%	0.91	1286	483	1281	37.7	45.9	4.7%	5.9%	4.4%	0.8%	37.7%	6.9
Memphis Grizzlies	74	1412	18.0%	0.90	1266	473	1307	36.2	45.9	3.7%	4.7%	3.3%	1.0%	35.8%	0.0
Minnesota Timberwolves	74	1271	16.0%	0.92	1173	450	1134	39.7	48.4	3.9%	7.5%	3.5%	0.7%	38.3%	10.3
Indiana Pacers	74	1201	14.8%	0.93	1122	406	1105	36.7	47.5	3.8%	4.5%	3.5%	0.3%	37.2%	20.7
Los Angeles Lakers	74	1148	14.4%	0.94	1075	386	1064	36.3	46.8	4.4%	3.7%	4.3%	0.8%	37.1%	24.1
