player_name,shot_zone_range,shot_type
Alexis Ajinca,Less Than 8 ft.,Bank
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,8-16 ft.,Others
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Bank
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,8-16 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Bank
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Bank
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Bank
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,8-16 ft.,Others
Alexis Ajinca,Less Than 8 ft.,Others
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,16-24 ft.,Jump
Alexis Ajinca,8-16 ft.,Others
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,8-16 ft.,Jump
Alexis Ajinca,Less Than 8 ft.,Layup
Alexis Ajinca,Less Than 8 ft.,Layup
