"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"1","Shot Chart Detail","0041400221","464","203919","Jordan Adams","1610612763","Memphis Grizzlies","4","0","9","Made Shot","Pullup Jump shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,23.3,9.45,1,"made",1,3
"2","Shot Chart Detail","0041400224","507","203919","Jordan Adams","1610612763","Memphis Grizzlies","4","1","16","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",21,11.1,23.55,1,"missed",0,2
"3","Shot Chart Detail","0041400225","452","203919","Jordan Adams","1610612763","Memphis Grizzlies","4","0","9","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",16,1.3,21.45,1,"made",1,2
"4","Shot Chart Detail","0041400173","30","201167","Arron Afflalo","1610612757","Portland Trail Blazers","1","7","18","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,22.6,9.95,1,"missed",0,3
"5","Shot Chart Detail","0041400173","124","201167","Arron Afflalo","1610612757","Portland Trail Blazers","2","10","49","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",8,0.1,14.05,1,"made",1,2
"6","Shot Chart Detail","0041400173","151","201167","Arron Afflalo","1610612757","Portland Trail Blazers","2","8","44","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-6,6.15,1,"missed",0,2
"7","Shot Chart Detail","0041400173","294","201167","Arron Afflalo","1610612757","Portland Trail Blazers","3","8","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",9,-5.7,12.65,1,"missed",0,2
"8","Shot Chart Detail","0041400173","485","201167","Arron Afflalo","1610612757","Portland Trail Blazers","4","4","9","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",24,-24,10.45,1,"made",1,3
"9","Shot Chart Detail","0041400174","20","201167","Arron Afflalo","1610612757","Portland Trail Blazers","1","8","49","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,0,11.35,1,"missed",0,2
"10","Shot Chart Detail","0041400174","44","201167","Arron Afflalo","1610612757","Portland Trail Blazers","1","5","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",14,14.9,5.55,1,"missed",0,2
