"","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_made_numeric","shot_value","time","shot_type","shot_zone"
"1",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,11,20,"Mid-Range","Right Side Center(RC)","16-24 ft.",18,11.4,20.05,0,2,40,"Jump",3
"2",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,6,30,"Restricted Area","Center(C)","Less Than 8 ft.",0,-0.7,5.25,1,2,330,"Layup",1
"3",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,4,45,"Mid-Range","Left Side(L)","8-16 ft.",12,-10.5,11.55,0,2,435,"Jump",2
"4",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,2,31,"Right Corner 3","Right Side(R)","24+ ft.",22,22.7,3.65,0,3,569,"Jump",4
"5",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,1,51,"Above the Break 3","Right Side Center(RC)","24+ ft.",26,9.1,29.85,0,3,609,"Jump",4
"6",2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,9,18,"In The Paint (Non-RA)","Right Side(R)","8-16 ft.",9,7,11.05,0,2,882,"Jump",2
"7",2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,3,16,"Above the Break 3","Right Side Center(RC)","24+ ft.",26,12.2,28.75,0,3,1244,"Jump",4
"8",2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,1,55,"Restricted Area","Center(C)","Less Than 8 ft.",0,-0.8,5.25,0,2,1325,"Layup",1
"9",2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,1,16,"Mid-Range","Right Side(R)","8-16 ft.",13,13.5,7.45,0,2,1364,"Jump",2
"10",2544,"LeBron James",1610612739,"Cleveland Cavaliers",3,6,54,"Above the Break 3","Center(C)","24+ ft.",25,2.6,30.15,1,3,1746,"Jump",4
"11",2544,"LeBron James",1610612739,"Cleveland Cavaliers",3,3,50,"Restricted Area","Center(C)","Less Than 8 ft.",1,1.2,4.95,1,2,1930,"Layup",1
"12",2544,"LeBron James",1610612739,"Cleveland Cavaliers",3,0,38,"Mid-Range","Left Side(L)","8-16 ft.",11,-10.3,9.45,0,2,2122,"Jump",2
"13",2544,"LeBron James",1610612739,"Cleveland Cavaliers",4,7,28,"Above the Break 3","Left Side Center(LC)","24+ ft.",26,-12.7,28.25,0,3,2432,"Jump",4
"14",2544,"LeBron James",1610612739,"Cleveland Cavaliers",4,4,34,"Restricted Area","Center(C)","Less Than 8 ft.",0,-0.8,5.55,1,2,2606,"Layup",1
"15",2544,"LeBron James",1610612739,"Cleveland Cavaliers",4,0,44,"Restricted Area","Center(C)","Less Than 8 ft.",1,-1.1,5.55,1,2,2836,"Layup",1
"16",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,10,54,"Mid-Range","Center(C)","16-24 ft.",19,5.6,23.85,1,2,66,"Jump",3
"17",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,6,31,"Mid-Range","Center(C)","16-24 ft.",21,-0.2,26.85,1,2,329,"Jump",3
"18",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,6,3,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,5,6.75,1,2,357,"Jump",1
"19",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,4,38,"Mid-Range","Right Side(R)","8-16 ft.",10,9.5,8.85,0,2,442,"Jump",2
"20",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,4,11,"Mid-Range","Right Side Center(RC)","16-24 ft.",18,11.4,19.45,0,2,469,"Jump",3
"21",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,3,35,"Mid-Range","Left Side(L)","8-16 ft.",11,-11.6,6.45,1,2,505,"Jump",2
"22",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,2,52,"Mid-Range","Left Side(L)","8-16 ft.",14,-14.6,4.15,0,2,548,"Jump",2
"23",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,2,23,"Mid-Range","Center(C)","16-24 ft.",21,-1.5,26.85,0,2,577,"Jump",3
"24",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,2,18,"Left Corner 3","Left Side(L)","24+ ft.",23,-23.5,6.65,1,3,582,"Jump",4
"25",2544,"LeBron James",1610612739,"Cleveland Cavaliers",1,1,23,"Restricted Area","Center(C)","Less Than 8 ft.",2,-2.9,5.35,0,2,637,"Layup",1
"26",2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,6,16,"Restricted Area","Center(C)","Less Than 8 ft.",3,2,7.85,0,2,1064,"Layup",1
