"","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_made_numeric","shot_value","time","shot_type","shot_zone"
"1",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,29,"Mid-Range","Left Side(L)","8-16 ft.",10,-8.1,12.45,1,2,271,"Jump",2
"2",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,5,9,"Above the Break 3","Center(C)","24+ ft.",25,6.5,29.85,0,3,411,"Jump",4
"3",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,8,49,"Restricted Area","Center(C)","Less Than 8 ft.",2,2.3,6.75,1,2,911,"Layup",1
"4",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,6,43,"Restricted Area","Center(C)","Less Than 8 ft.",1,-1.1,5.95,1,2,1037,"Layup",1
"5",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,5,36,"Above the Break 3","Left Side Center(LC)","24+ ft.",24,-16.4,23.95,0,3,1104,"Jump",4
"6",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,59,"In The Paint (Non-RA)","Center(C)","8-16 ft.",10,-0.4,15.45,0,2,1141,"Jump",2
"7",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,1,6,"In The Paint (Non-RA)","Left Side(L)","8-16 ft.",8,-7.8,8.65,0,2,1374,"Jump",2
"8",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,18,"Left Corner 3","Left Side(L)","24+ ft.",23,-22.9,7.85,0,3,1542,"Jump",4
"9",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,8,2,"Above the Break 3","Center(C)","24+ ft.",25,-5.4,29.85,0,3,1678,"Jump",4
"10",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,4,26,"Above the Break 3","Center(C)","24+ ft.",24,-1.8,29.85,1,3,1894,"Jump",4
"11",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,2,33,"Restricted Area","Center(C)","Less Than 8 ft.",2,1.8,7.15,0,2,2007,"Layup",1
"12",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,0,42,"Above the Break 3","Center(C)","24+ ft.",24,3.7,29.95,0,3,2118,"Jump",4
"13",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,5,58,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,3.4,7.45,1,2,2522,"Layup",1
"14",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,3,27,"Restricted Area","Center(C)","Less Than 8 ft.",3,-2.6,6.95,1,2,2673,"Layup",1
"15",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,2,12,"Above the Break 3","Left Side Center(LC)","24+ ft.",25,-16.4,25.25,0,3,2748,"Jump",4
"16",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,1,31,"Above the Break 3","Right Side Center(RC)","24+ ft.",24,22.5,15.15,1,3,2789,"Jump",4
"17",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,0,30,"Above the Break 3","Right Side Center(RC)","24+ ft.",24,20.9,17.85,0,3,2850,"Jump",4
"18",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,10,44,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,-2.3,8.85,0,2,76,"Jump",1
"19",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,52,"Mid-Range","Left Side Center(LC)","16-24 ft.",19,-13.8,18.45,1,2,308,"Jump",3
"20",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,21,"Above the Break 3","Center(C)","24+ ft.",25,0,30.65,0,3,339,"Jump",4
"21",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,3,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,6.2,8.95,0,2,357,"Jump",1
"22",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,5,2,"Above the Break 3","Left Side Center(LC)","24+ ft.",26,-12.3,28.25,1,3,418,"Jump",4
"23",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,3,46,"Mid-Range","Left Side(L)","16-24 ft.",18,-15.3,16.05,1,2,494,"Bank",3
"24",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,3,19,"In The Paint (Non-RA)","Center(C)","8-16 ft.",11,-3.7,16.05,1,2,521,"Jump",2
"25",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,2,11,"Above the Break 3","Left Side Center(LC)","24+ ft.",26,-12.3,28.25,1,3,589,"Jump",4
"26",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,0,48,"Above the Break 3","Center(C)","24+ ft.",26,-7.6,30.95,0,3,672,"Jump",4
"27",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,12,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,4.8,9.75,1,2,1188,"Bank",1
"28",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,1,3,"Mid-Range","Right Side(R)","8-16 ft.",14,14,7.85,0,2,1377,"Jump",2
"29",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,11,29,"Above the Break 3","Right Side Center(RC)","24+ ft.",24,17.7,22.55,0,3,1471,"Jump",4
"30",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,7,46,"Restricted Area","Center(C)","Less Than 8 ft.",2,1.8,7.45,0,2,1694,"Layup",1
"31",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,6,36,"Restricted Area","Center(C)","Less Than 8 ft.",1,1.5,6.15,1,2,1764,"Layup",1
"32",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,5,8,"Above the Break 3","Right Side Center(RC)","24+ ft.",27,15.9,27.65,1,3,1852,"Jump",4
"33",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,3,27,"Above the Break 3","Right Side Center(RC)","24+ ft.",26,9.1,30.45,0,3,1953,"Jump",4
"34",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,7,2,"Restricted Area","Center(C)","Less Than 8 ft.",3,0,8.95,1,2,2458,"Jump",1
"35",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,6,28,"Above the Break 3","Right Side Center(RC)","24+ ft.",26,14.4,28.05,0,3,2492,"Jump",4
"36",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,2,15,"Mid-Range","Right Side(R)","8-16 ft.",12,12.1,6.65,1,2,2745,"Others",2
"37",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,10,56,"Mid-Range","Right Side(R)","16-24 ft.",18,15.7,14.55,0,2,64,"Jump",3
"38",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,9,23,"Above the Break 3","Center(C)","24+ ft.",24,-5.1,29.45,1,3,157,"Jump",4
"39",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,8,11,"Restricted Area","Center(C)","Less Than 8 ft.",1,-1.5,5.55,1,2,229,"Layup",1
"40",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,44,"Mid-Range","Center(C)","8-16 ft.",14,2.1,20.05,1,2,256,"Jump",2
"41",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,5,53,"Above the Break 3","Right Side Center(RC)","24+ ft.",26,12.4,28.75,0,3,367,"Jump",4
"42",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,4,10,"Mid-Range","Left Side Center(LC)","16-24 ft.",20,-10.3,22.55,0,2,470,"Jump",3
"43",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,57,"Mid-Range","Center(C)","16-24 ft.",21,-1.6,26.35,1,2,1143,"Jump",3
"44",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,20,"Mid-Range","Left Side Center(LC)","16-24 ft.",19,-8.2,23.15,0,2,1180,"Jump",3
"45",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,2,47,"Restricted Area","Center(C)","Less Than 8 ft.",1,-1.5,5.05,0,2,1273,"Layup",1
"46",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,0,20,"Mid-Range","Left Side(L)","16-24 ft.",19,-19.4,9.35,0,2,1420,"Jump",3
"47",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,53,"Restricted Area","Center(C)","Less Than 8 ft.",0,0.9,5.25,0,2,1507,"Layup",1
"48",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,12,"Mid-Range","Left Side Center(LC)","16-24 ft.",18,-14.2,17.35,1,2,1548,"Jump",3
