Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Marcin Gortat	WAS	70	287	31.3%	1.12	322	137	242	56.6	56.6	12.2%	4.9%	11.1%	1.4%	57.8%	34.2
Brook Lopez	BKN	73	206	13.7%	1.33	274	110	171	64.3	64.3	18.9%	3.4%	18.4%	5.3%	66.5%	70.8
Dwight Howard	HOU	65	199	21.8%	1.37	272	115	152	75.7	75.7	23.6%	6.5%	22.6%	7.0%	70.4%	76.6
Derrick Favors	UTA	58	213	21.8%	1.27	270	112	174	64.4	64.4	17.4%	7.0%	16.9%	6.1%	63.8%	62.3
DeAndre Jordan	LAC	72	174	20.8%	1.47	255	110	137	80.3	80.3	27.6%	4.6%	26.4%	10.9%	76.4%	88.0
Greg Monroe	MIL	74	202	17.7%	1.21	244	96	157	61.1	61.1	20.8%	5.9%	18.8%	4.5%	62.9%	50.9
Hassan Whiteside	MIA	66	162	19.1%	1.40	227	94	134	70.1	70.1	23.5%	3.1%	23.5%	9.3%	69.1%	79.8
Zaza Pachulia	DAL	69	215	31.5%	1.04	224	84	163	51.5	51.5	17.7%	10.2%	17.2%	3.7%	52.6%	21.9
Jabari Parker	MIL	70	181	18.3%	1.22	220	93	150	62.0	62.0	12.7%	7.2%	12.2%	2.8%	61.3%	53.5
Steven Adams	OKC	74	161	29.5%	1.32	212	91	133	68.4	68.4	17.4%	4.3%	16.8%	4.3%	68.9%	68.7
Ian Mahinmi	IND	66	175	29.3%	1.17	204	84	132	63.6	63.6	18.3%	9.7%	17.7%	3.4%	60.0%	42.4
Thaddeus Young	BKN	73	187	15.9%	1.09	204	92	158	58.2	58.2	7.5%	9.1%	7.5%	1.1%	55.1%	30.3
Andre Drummond	DET	76	175	12.5%	1.14	200	84	138	60.9	60.9	23.4%	3.4%	21.7%	5.7%	61.1%	38.8
Giannis Antetokounmpo	MIL	74	148	11.6%	1.32	195	73	107	68.2	68.2	23.6%	6.8%	20.9%	3.4%	67.6%	69.0
Paul Millsap	ATL	76	155	11.5%	1.25	193	78	124	62.9	62.9	16.8%	6.5%	15.5%	3.2%	63.2%	58.5
Kenneth Faried	DEN	63	165	21.0%	1.16	191	81	135	60.0	60.0	18.8%	5.5%	16.4%	6.1%	60.0%	41.5
Jonas Valanciunas	TOR	54	131	20.6%	1.43	187	78	110	70.9	70.9	16.8%	3.1%	16.0%	3.8%	72.5%	82.5
Andrew Bogut	GSW	66	132	36.5%	1.42	187	92	122	75.4	75.4	2.3%	6.1%	1.5%	0.8%	71.2%	80.4
Timofey Mozgov	CLE	70	146	32.7%	1.28	187	78	116	67.2	67.2	18.5%	8.9%	17.8%	6.8%	63.7%	64.0
Jimmy Butler	CHI	60	122	9.9%	1.52	185	73	98	74.5	74.5	22.1%	1.6%	18.9%	4.1%	77.0%	92.4
Mason Plumlee	POR	76	171	22.5%	1.08	184	67	123	54.5	54.5	24.6%	7.6%	24.0%	4.7%	56.1%	26.6
Enes Kanter	OKC	76	140	16.4%	1.30	182	75	115	65.2	65.2	15.7%	6.4%	15.0%	4.3%	64.3%	67.2
Alex Len	PHX	71	154	19.4%	1.17	180	73	127	57.5	57.5	14.9%	5.8%	12.3%	3.2%	59.1%	43.0
Taj Gibson	CHI	73	167	26.1%	1.07	178	75	140	53.6	53.6	13.8%	8.4%	13.8%	6.0%	52.1%	24.3
Gorgui Dieng	MIN	76	128	16.8%	1.38	176	64	94	68.1	68.1	27.3%	7.0%	25.0%	8.6%	67.2%	77.4
Tristan Thompson	CLE	76	154	27.6%	1.13	174	73	126	57.9	57.9	17.5%	5.2%	16.2%	4.5%	57.8%	36.3
Nerlens Noel	PHI	62	157	20.0%	1.09	171	70	118	59.3	59.3	17.2%	10.8%	15.9%	3.2%	57.3%	29.5
Kosta Koufos	SAC	72	158	32.8%	1.08	170	77	136	56.6	56.6	10.8%	4.4%	11.4%	1.9%	55.7%	26.3
Robin Lopez	NYK	77	151	18.9%	1.12	169	73	132	55.3	55.3	12.6%	4.6%	12.6%	4.6%	55.0%	33.0
Rudy Gobert	UTA	56	163	28.9%	1.02	166	67	114	58.8	58.8	20.9%	12.3%	20.2%	3.1%	54.6%	18.7
Bismack Biyombo	TOR	74	148	34.5%	1.09	161	62	106	58.5	58.5	21.6%	10.8%	20.3%	4.1%	58.1%	29.2
Clint Capela	HOU	70	151	29.7%	1.07	161	71	122	58.2	58.2	17.2%	5.3%	17.2%	4.0%	56.3%	24.6
LaMarcus Aldridge	SAS	69	109	9.1%	1.42	155	66	94	70.2	70.2	13.8%	3.7%	13.8%	3.7%	70.6%	81.0
Dwight Powell	DAL	60	108	27.1%	1.43	154	54	77	70.1	70.1	32.4%	5.6%	31.5%	9.3%	71.3%	82.2
Klay Thompson	GSW	74	127	8.4%	1.21	154	65	108	60.2	60.2	12.6%	6.3%	11.8%	3.9%	59.8%	52.9
Draymond Green	GSW	75	113	10.1%	1.35	152	63	87	72.4	72.4	15.0%	11.5%	15.0%	3.5%	67.3%	73.4
Karl-Anthony Towns	MIN	76	105	7.9%	1.41	148	64	90	71.1	71.1	14.3%	3.8%	13.3%	4.8%	69.5%	80.1
Stephen Curry	GSW	73	111	6.0%	1.33	148	57	91	62.6	62.6	20.7%	4.5%	20.7%	7.2%	64.9%	72.1
Nikola Jokic	DEN	74	120	16.2%	1.23	147	65	100	65.0	65.0	10.0%	10.0%	10.0%	3.3%	60.0%	55.3
Anthony Davis	NOP	61	107	7.5%	1.36	145	56	85	65.9	65.9	22.4%	2.8%	16.8%	4.7%	68.2%	74.9
Jordan Hill	IND	71	120	17.5%	1.21	145	63	94	67.0	67.0	14.2%	11.7%	14.2%	4.2%	60.8%	51.2
Ed Davis	POR	75	123	27.5%	1.18	145	56	89	62.9	62.9	27.6%	6.5%	26.0%	6.5%	60.2%	44.7
Al Horford	ATL	77	119	10.5%	1.20	143	66	107	61.7	61.7	6.7%	5.0%	5.9%	1.7%	59.7%	49.4
Amir Johnson	BOS	73	104	19.5%	1.37	142	65	92	70.7	70.7	9.6%	4.8%	8.7%	2.9%	68.3%	76.3
Cody Zeller	CHA	67	117	20.4%	1.21	141	53	89	59.6	59.6	20.5%	6.8%	20.5%	3.4%	62.4%	50.0
Willie Cauley-Stein	SAC	59	117	30.7%	1.20	140	60	94	63.8	63.8	13.7%	6.0%	12.8%	0.0%	63.2%	47.1
John Henson	MIL	49	112	31.1%	1.21	135	54	81	66.7	66.7	21.4%	11.6%	19.6%	5.4%	61.6%	50.3
Kristaps Porzingis	NYK	72	120	10.7%	1.13	135	50	88	56.8	56.8	18.3%	10.0%	16.7%	1.7%	58.3%	35.1
LeBron James	CLE	72	98	5.5%	1.37	134	59	82	72.0	72.0	15.3%	7.1%	15.3%	6.1%	66.3%	76.9
Nene Hilario	WAS	52	97	20.2%	1.31	127	52	73	71.2	71.2	24.7%	7.2%	24.7%	7.2%	67.0%	67.8
Serge Ibaka	OKC	74	99	10.1%	1.21	120	55	82	67.1	67.1	10.1%	10.1%	9.1%	3.0%	61.6%	52.6
Myles Turner	IND	53	82	14.0%	1.44	118	53	72	73.6	73.6	11.0%	7.3%	11.0%	6.1%	69.5%	85.1
Andrew Wiggins	MIN	75	89	5.5%	1.33	118	39	62	62.9	62.9	31.5%	4.5%	30.3%	5.6%	68.5%	70.5
Festus Ezeli	GSW	40	91	30.2%	1.29	117	51	75	68.0	68.0	18.7%	4.4%	17.6%	5.5%	68.1%	65.1
Tyson Chandler	PHX	61	107	24.7%	1.08	116	45	81	55.6	55.6	22.4%	7.5%	21.5%	5.6%	57.0%	28.1
DeMarcus Cousins	SAC	63	94	5.2%	1.22	115	42	71	59.2	59.2	24.5%	3.2%	21.3%	3.2%	64.9%	54.7
Nikola Vucevic	ORL	60	110	9.7%	1.04	114	51	95	53.7	53.7	9.1%	7.3%	9.1%	2.7%	52.7%	20.8
Aaron Gordon	ORL	75	88	12.9%	1.28	113	47	73	64.4	64.4	19.3%	2.3%	18.2%	4.5%	67.0%	64.6
Brandon Bass	LAL	66	76	17.7%	1.47	112	44	63	69.8	69.8	21.1%	2.6%	19.7%	6.6%	72.4%	89.5
Gary Harris	DEN	71	87	10.2%	1.28	111	50	77	64.9	64.9	8.0%	6.9%	8.0%	3.4%	62.1%	63.5
Aron Baynes	DET	75	88	18.2%	1.22	107	43	72	59.7	59.7	19.3%	3.4%	18.2%	4.5%	61.4%	53.8
Julius Randle	LAL	74	88	8.7%	1.20	106	38	66	57.6	57.6	22.7%	6.8%	20.5%	4.5%	60.2%	49.7
Lavoy Allen	IND	72	96	22.1%	1.10	106	47	84	56.0	56.0	10.4%	3.1%	7.3%	1.0%	57.3%	31.9
Tim Duncan	SAS	56	97	18.5%	1.08	105	44	87	50.6	50.6	15.5%	3.1%	14.4%	8.2%	52.6%	27.2
Jerami Grant	PHI	72	98	12.4%	1.07	105	38	74	51.4	51.4	24.5%	3.1%	21.4%	3.1%	58.2%	25.7
Derrick Williams	NYK	74	78	11.6%	1.32	103	34	54	63.0	63.0	28.2%	5.1%	28.2%	3.8%	67.9%	69.6
JaMychal Green	MEM	71	88	15.5%	1.17	103	43	70	61.4	61.4	13.6%	10.2%	13.6%	3.4%	59.1%	43.3
Kevin Durant	OKC	68	69	4.0%	1.46	101	45	58	77.6	77.6	8.7%	7.2%	8.7%	0.0%	73.9%	87.7
Luol Deng	MIA	67	79	9.7%	1.28	101	43	68	63.2	63.2	15.2%	5.1%	13.9%	6.3%	62.0%	63.7
Omer Asik	NOP	57	93	34.6%	1.09	101	39	65	60.0	60.0	24.7%	7.5%	23.7%	2.2%	61.3%	28.7
Trevor Booker	UTA	73	88	18.0%	1.14	100	41	74	55.4	55.4	14.8%	5.7%	14.8%	4.5%	55.7%	37.1
Shabazz Muhammad	MIN	76	69	8.9%	1.43	99	37	53	69.8	69.8	26.1%	2.9%	24.6%	5.8%	72.5%	84.7
Tiago Splitter	ATL	36	77	38.3%	1.27	98	39	63	61.9	61.9	18.2%	3.9%	15.6%	3.9%	64.9%	63.0
Marc Gasol	MEM	52	77	8.2%	1.26	97	41	64	64.1	64.1	11.7%	5.2%	9.1%	0.0%	64.9%	61.1
Pau Gasol	CHI	67	85	7.1%	1.14	97	38	68	55.9	55.9	16.5%	7.1%	16.5%	3.5%	57.6%	37.7
Jahil Okafor	PHI	53	109	11.1%	0.89	97	44	97	45.4	45.4	7.3%	4.6%	7.3%	0.9%	45.9%	5.6
Paul George	IND	76	67	3.6%	1.43	96	34	48	70.8	70.8	23.9%	6.0%	20.9%	1.5%	73.1%	83.9
Richaun Holmes	PHI	50	75	26.2%	1.24	93	36	59	61.0	61.0	21.3%	4.0%	21.3%	4.0%	65.3%	57.9
Shaun Livingston	GSW	72	76	16.7%	1.22	93	43	64	67.2	67.2	6.6%	9.2%	7.9%	1.3%	60.5%	55.0
Kent Bazemore	ATL	71	78	9.1%	1.19	93	41	67	61.2	61.2	10.3%	5.1%	9.0%	1.3%	59.0%	46.5
Tony Allen	MEM	61	94	16.8%	0.98	92	35	73	47.9	47.9	18.1%	5.3%	16.0%	1.1%	53.2%	12.0
Doug McDermott	CHI	74	68	10.2%	1.32	90	41	61	67.2	67.2	8.8%	5.9%	8.8%	4.4%	64.7%	70.2
Otto Porter Jr.	WAS	69	73	9.2%	1.23	90	40	67	59.7	59.7	9.6%	1.4%	8.2%	2.7%	61.6%	56.1
David West	SAS	72	75	15.2%	1.20	90	40	67	59.7	59.7	9.3%	4.0%	9.3%	2.7%	60.0%	48.2
Tobias Harris	ORL	49	65	9.6%	1.35	88	35	52	67.3	67.3	16.9%	3.1%	15.4%	0.0%	69.2%	74.6
Zach Randolph	MEM	62	64	6.5%	1.36	87	39	54	72.2	72.2	10.9%	7.8%	12.5%	4.7%	67.2%	75.7
Jared Sullinger	BOS	75	84	9.0%	1.04	87	38	71	53.5	53.5	11.9%	4.8%	11.9%	1.2%	54.8%	20.5
Jeff Withey	UTA	43	75	36.4%	1.12	84	38	63	60.3	60.3	9.3%	8.0%	8.0%	1.3%	58.7%	33.3
Miles Plumlee	MIL	48	81	32.3%	1.04	84	38	65	58.5	58.5	12.3%	11.1%	12.3%	3.7%	53.1%	21.1
Thabo Sefolosha	ATL	69	64	13.9%	1.28	82	37	51	72.5	72.5	10.9%	9.4%	12.5%	1.6%	65.6%	64.3
Jae Crowder	BOS	67	53	5.8%	1.51	80	33	44	75.0	75.0	17.0%	5.7%	17.0%	5.7%	73.6%	91.8
Harrison Barnes	GSW	60	67	9.9%	1.19	80	31	55	56.4	56.4	19.4%	4.5%	19.4%	6.0%	59.7%	46.8
Al Jefferson	CHA	41	71	14.1%	1.13	80	32	62	51.6	51.6	18.3%	1.4%	18.3%	7.0%	56.3%	36.0
Jordan Clarkson	LAL	72	65	5.4%	1.20	78	34	55	61.8	61.8	9.2%	7.7%	9.2%	1.5%	60.0%	48.2
Omri Casspi	SAC	69	73	9.2%	1.05	77	35	60	58.3	58.3	8.2%	12.3%	8.2%	2.7%	52.1%	22.8
Rudy Gay	SAC	66	74	6.4%	1.04	77	36	66	54.5	54.5	8.1%	5.4%	8.1%	2.7%	52.7%	21.6
Dwyane Wade	MIA	68	74	5.1%	1.03	76	29	55	52.7	52.7	16.2%	13.5%	14.9%	4.1%	51.4%	19.6
Avery Bradley	BOS	71	51	4.6%	1.47	75	34	45	75.6	75.6	9.8%	3.9%	9.8%	2.0%	74.5%	89.1
Justise Winslow	MIA	72	69	12.1%	1.09	75	30	53	56.6	56.6	11.6%	11.6%	11.6%	0.0%	55.1%	28.9
Danilo Gallinari	DEN	53	52	5.4%	1.42	74	23	34	67.6	67.6	36.5%	3.8%	32.7%	5.8%	71.2%	81.5
Kawhi Leonard	SAS	67	52	4.3%	1.42	74	29	44	65.9	65.9	23.1%	3.8%	23.1%	11.5%	67.3%	81.5
Joffrey Lauvergne	DEN	52	55	13.3%	1.35	74	35	48	72.9	72.9	5.5%	7.3%	5.5%	0.0%	69.1%	73.7
Larry Nance	LAL	56	66	20.1%	1.12	74	36	59	61.0	61.0	6.1%	6.1%	6.1%	1.5%	57.6%	33.7
Mike Scott	ATL	66	66	15.5%	1.12	74	33	58	56.9	56.9	7.6%	6.1%	6.1%	1.5%	56.1%	33.7
Maurice Harkless	POR	71	56	12.4%	1.29	72	30	43	69.8	69.8	17.9%	5.4%	17.9%	0.0%	67.9%	65.1
Andre Roberson	OKC	65	57	18.1%	1.26	72	33	43	76.7	76.7	10.5%	15.8%	10.5%	3.5%	63.2%	61.8
Michael Carter-Williams	MIL	54	64	8.2%	1.13	72	31	55	56.4	56.4	14.1%	3.1%	14.1%	3.1%	59.4%	35.1
Terrence Jones	HOU	49	68	14.7%	1.06	72	29	51	56.9	56.9	17.6%	10.3%	13.2%	2.9%	52.9%	23.5
Roy Hibbert	LAL	74	60	11.6%	1.18	71	24	42	57.1	57.1	25.0%	5.0%	26.7%	1.7%	60.0%	45.6
Matt Barnes	MEM	70	75	9.7%	0.95	71	28	60	46.7	46.7	13.3%	6.7%	13.3%	0.0%	50.7%	9.4
Victor Oladipo	ORL	69	52	4.4%	1.35	70	29	44	65.9	65.9	19.2%	0.0%	17.3%	3.8%	69.2%	74.0
Amare Stoudemire	MIA	47	56	20.5%	1.25	70	29	46	63.0	63.0	16.1%	5.4%	16.1%	3.6%	64.3%	59.6
Jeff Green	MEM	53	53	7.7%	1.30	69	28	44	63.6	63.6	15.1%	3.8%	15.1%	1.9%	66.0%	67.5
Frank Kaminsky	CHA	73	55	9.4%	1.24	68	28	46	60.9	60.9	16.4%	5.5%	14.5%	5.5%	61.8%	57.0
Damian Lillard	POR	69	57	3.2%	1.18	67	29	46	63.0	63.0	8.8%	12.3%	8.8%	1.8%	57.9%	43.9
Luc Mbah a Moute	LAC	60	62	25.5%	1.06	66	28	48	58.3	58.3	17.7%	11.3%	17.7%	6.5%	54.8%	24.0
Chris Bosh	MIA	53	44	4.6%	1.48	65	22	30	73.3	73.3	36.4%	4.5%	36.4%	9.1%	75.0%	89.8
JaVale McGee	DAL	33	50	29.2%	1.30	65	29	44	65.9	65.9	12.0%	4.0%	12.0%	4.0%	66.0%	67.2
Willie Reed	BKN	34	53	31.9%	1.21	64	28	43	65.1	65.1	11.3%	9.4%	11.3%	1.9%	60.4%	50.6
Gordon Hayward	UTA	74	57	3.8%	1.12	64	24	45	53.3	53.3	19.3%	7.0%	21.1%	7.0%	54.4%	34.5
Alexis Ajinca	NOP	52	59	18.3%	1.08	64	25	47	53.2	53.2	15.3%	8.5%	13.6%	3.4%	54.2%	28.4
Darrell Arthur	DEN	69	67	11.8%	0.96	64	28	57	49.1	49.1	9.0%	7.5%	9.0%	1.5%	47.8%	10.5
Quincy Acy	SAC	49	42	19.8%	1.50	63	23	33	69.7	69.7	26.2%	2.4%	26.2%	7.1%	73.8%	91.4
Chandler Parsons	DAL	61	45	5.6%	1.38	62	29	40	72.5	72.5	11.1%	4.4%	11.1%	4.4%	68.9%	77.8
Al Farouq Aminu	POR	76	42	5.1%	1.45	61	26	36	72.2	72.2	19.0%	4.8%	19.0%	9.5%	71.4%	86.3
Will Barton	DEN	77	44	3.8%	1.39	61	28	40	70.0	70.0	11.4%	2.3%	9.1%	4.5%	70.5%	78.7
Jeremy Lamb	CHA	61	45	7.9%	1.36	61	26	41	63.4	63.4	15.6%	2.2%	13.3%	8.9%	64.4%	75.1
Dirk Nowitzki	DAL	69	39	3.2%	1.54	60	27	35	77.1	77.1	7.7%	2.6%	7.7%	0.0%	76.9%	93.3
Carmelo Anthony	NYK	69	52	3.3%	1.15	60	25	45	55.6	55.6	11.5%	0.0%	13.5%	0.0%	59.6%	40.9
Luis Scola	TOR	72	55	8.1%	1.09	60	28	51	54.9	54.9	5.5%	3.6%	5.5%	1.8%	54.5%	30.3
Carl Landry	PHI	35	47	15.6%	1.26	59	25	38	65.8	65.8	12.8%	4.3%	14.9%	0.0%	66.0%	60.5
Trey Lyles	UTA	71	56	12.0%	1.05	59	25	44	56.8	56.8	12.5%	10.7%	12.5%	1.8%	53.6%	22.5
DAngelo Russell	LAL	73	42	3.8%	1.38	58	24	33	72.7	72.7	11.9%	9.5%	11.9%	0.0%	69.0%	78.1
Evan Fournier	ORL	73	44	4.2%	1.32	58	22	34	64.7	64.7	22.7%	9.1%	22.7%	9.1%	63.6%	69.3
Marvin Williams	CHA	74	50	6.3%	1.16	58	22	40	55.0	55.0	18.0%	6.0%	18.0%	4.0%	58.0%	42.1
