Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Kawhi Leonard	SAS	67	290	23.9%	1.29	374	134	266	50.4	65.4	5.5%	3.8%	5.2%	1.0%	50.7%	97.4
Trevor Ariza	HOU	75	403	42.0%	0.90	362	124	355	34.9	46.5	5.2%	7.2%	4.7%	0.5%	35.2%	41.6
Wesley Matthews	DAL	72	320	35.5%	1.11	354	118	303	38.9	55.3	2.8%	3.1%	2.2%	0.6%	39.1%	84.6
Marvin Williams	CHA	74	316	39.8%	1.09	343	121	300	40.3	55.2	2.5%	3.2%	2.2%	0.6%	40.2%	79.8
JR Smith	CLE	72	291	33.1%	1.16	337	119	284	41.9	58.6	0.7%	1.7%	0.7%	0.0%	41.6%	89.4
Rodney Hood	UTA	73	308	28.4%	1.09	336	115	282	40.8	55.7	3.6%	5.2%	2.9%	0.3%	40.6%	81.3
Hollis Thompson	PHI	72	290	39.8%	1.12	326	111	257	43.2	58.0	6.6%	6.9%	6.2%	2.1%	42.1%	85.6
Al Farouq Aminu	POR	76	312	37.5%	1.04	324	111	282	39.4	53.9	4.5%	6.1%	4.2%	1.0%	38.8%	71.6
Jae Crowder	BOS	67	304	33.1%	1.06	323	103	265	38.9	50.2	11.5%	3.6%	11.5%	2.3%	42.4%	77.2
Mirza Teletovic	PHX	71	276	34.5%	1.15	318	105	250	42.0	59.4	4.7%	4.7%	3.3%	0.0%	42.8%	89.2
Kevin Love	CLE	72	304	25.9%	1.03	312	101	276	36.6	51.6	4.9%	4.9%	4.3%	0.7%	37.5%	68.8
Omri Casspi	SAC	69	302	38.2%	1.02	309	107	260	41.2	54.8	7.0%	8.6%	5.3%	1.7%	40.1%	68.0
Gordon Hayward	UTA	74	291	19.6%	1.03	299	100	246	40.7	53.3	8.9%	7.9%	6.5%	1.4%	41.9%	69.0
Klay Thompson	GSW	74	253	16.8%	1.17	296	102	238	42.9	59.0	3.6%	3.2%	3.2%	0.8%	42.7%	91.6
Evan Fournier	ORL	73	263	25.0%	1.10	290	97	239	40.6	55.9	5.3%	4.9%	4.6%	1.1%	41.1%	83.2
Marcus Morris	DET	75	253	22.5%	1.15	290	100	218	45.9	60.3	7.1%	8.7%	6.3%	2.4%	43.9%	88.2
Jared Dudley	WAS	75	251	44.2%	1.14	286	105	218	48.2	61.7	4.8%	9.6%	4.4%	1.2%	45.4%	87.5
Patrick Patterson	TOR	73	277	52.3%	1.03	286	104	254	40.9	54.1	3.2%	6.1%	2.5%	1.1%	39.7%	70.0
Luol Deng	MIA	67	291	35.7%	0.98	285	100	261	38.3	50.2	6.2%	4.8%	5.8%	0.7%	39.2%	58.4
Robert Covington	PHI	62	300	36.6%	0.94	282	86	261	33.0	46.7	7.3%	6.7%	7.0%	1.0%	34.7%	50.6
Allen Crabbe	POR	75	239	32.7%	1.18	282	100	218	45.9	60.6	4.6%	5.0%	3.8%	0.8%	45.6%	92.3
Chandler Parsons	DAL	61	227	28.2%	1.23	279	99	202	49.0	63.6	6.6%	4.8%	5.3%	0.4%	49.8%	94.2
Kyle Lowry	TOR	73	243	15.6%	1.15	279	92	207	44.4	61.1	6.2%	8.2%	5.8%	0.0%	44.0%	88.7
CJ McCollum	POR	74	239	15.0%	1.14	272	94	225	41.8	57.6	3.3%	2.5%	2.5%	0.0%	42.7%	87.0
Bojan Bogdanovic	BKN	74	264	31.3%	1.02	269	89	237	37.6	53.6	3.4%	7.2%	2.7%	0.4%	36.7%	67.5
DeMarcus Cousins	SAC	63	293	16.1%	0.92	269	98	242	40.5	47.3	10.2%	8.9%	8.2%	2.0%	41.3%	46.9
Patrick Beverley	HOU	65	242	36.7%	1.10	267	95	227	41.9	57.3	1.7%	4.5%	0.8%	0.0%	40.9%	83.7
Nikola Mirotic	CHI	59	251	36.4%	1.06	266	85	221	38.5	53.6	6.0%	6.0%	5.6%	0.4%	39.4%	76.7
Dirk Nowitzki	DAL	69	273	22.5%	0.96	263	98	261	37.5	48.5	2.2%	2.2%	1.5%	0.0%	38.1%	55.5
Serge Ibaka	OKC	74	286	29.2%	0.92	263	109	276	39.5	46.7	1.0%	2.8%	1.0%	0.3%	38.8%	47.1
Will Barton	DEN	77	264	22.6%	0.99	262	88	229	38.4	50.4	8.7%	5.3%	7.2%	0.8%	40.5%	61.3
Danny Green	SAS	73	263	42.8%	0.97	256	88	245	35.9	50.6	1.9%	5.3%	1.9%	0.4%	35.0%	57.9
Kent Bazemore	ATL	71	259	30.1%	0.98	255	87	226	38.5	51.8	5.4%	8.1%	4.6%	1.2%	37.5%	59.6
Stephen Curry	GSW	73	169	9.1%	1.50	253	85	156	54.5	75.6	4.1%	3.6%	3.6%	0.0%	54.4%	99.5
JJ Redick	LAC	70	164	16.6%	1.54	252	78	139	56.1	78.1	9.8%	6.7%	9.8%	1.2%	56.1%	99.8
Isaiah Canaan	PHI	75	239	27.7%	1.05	251	79	214	36.9	52.6	6.7%	5.4%	6.3%	1.7%	38.1%	75.0
Kemba Walker	CHA	74	218	14.0%	1.15	251	84	202	41.6	58.2	4.6%	3.2%	4.6%	0.5%	42.7%	88.9
Pau Gasol	CHI	67	249	20.7%	1.00	248	107	230	46.5	50.0	4.8%	4.4%	4.4%	1.6%	46.2%	62.0
Al Horford	ATL	77	264	23.3%	0.93	246	99	252	39.3	48.0	1.9%	3.4%	1.9%	0.8%	38.6%	49.3
Avery Bradley	BOS	71	229	20.6%	1.07	245	87	217	40.1	54.6	2.2%	3.5%	2.2%	0.4%	39.7%	78.4
Kentavious Caldwell-Pope	DET	71	273	24.9%	0.90	245	90	246	36.6	47.2	4.8%	7.3%	4.4%	1.8%	35.5%	41.3
Chris Bosh	MIA	53	260	27.0%	0.93	242	90	236	38.1	47.0	5.8%	3.8%	6.2%	0.8%	39.6%	49.0
Khris Middleton	MIL	76	229	16.5%	1.06	242	82	208	39.4	52.2	5.7%	3.9%	5.7%	0.4%	41.0%	75.2
Terrence Ross	TOR	66	220	36.0%	1.10	241	84	204	41.2	58.3	0.9%	6.4%	0.9%	0.5%	38.6%	82.2
Isaiah Thomas	BOS	76	225	13.2%	1.07	240	81	202	40.1	51.5	8.9%	3.6%	8.4%	2.2%	42.2%	77.8
Draymond Green	GSW	75	228	20.3%	1.02	232	75	196	38.3	52.8	7.5%	7.5%	7.0%	0.9%	39.5%	67.1
Nik Stauskas	PHI	69	239	38.0%	0.96	229	72	211	34.1	48.3	7.5%	4.6%	6.3%	0.4%	36.4%	54.6
John Wall	WAS	76	227	12.8%	1.01	229	77	212	36.3	50.5	4.8%	4.4%	4.8%	2.6%	36.1%	64.9
Paul Millsap	ATL	76	263	19.6%	0.86	226	79	214	36.9	43.7	11.8%	9.9%	10.3%	3.0%	38.4%	34.9
Kristaps Porzingis	NYK	72	277	24.8%	0.81	225	82	255	32.2	40.6	3.6%	4.7%	2.9%	0.4%	32.9%	25.7
Doug McDermott	CHI	74	190	28.4%	1.18	225	79	182	43.4	59.1	3.2%	2.6%	3.2%	1.6%	43.2%	92.8
Gerald Green	MIA	63	220	34.8%	1.01	223	76	198	38.4	49.5	7.7%	4.5%	7.3%	2.3%	40.0%	65.9
Matt Barnes	MEM	70	246	31.8%	0.91	223	76	236	32.2	46.0	2.0%	2.0%	1.2%	0.0%	32.5%	43.5
Gary Harris	DEN	71	227	26.7%	0.97	220	80	210	38.1	50.2	3.1%	6.2%	3.1%	1.8%	36.6%	56.5
Paul George	IND	76	201	10.9%	1.09	220	76	182	41.8	56.3	5.0%	5.5%	4.5%	1.0%	41.8%	81.7
Otto Porter Jr.	WAS	69	231	29.1%	0.95	219	82	211	38.9	49.5	2.6%	6.1%	2.6%	0.0%	38.1%	52.6
James Harden	HOU	76	179	8.3%	1.21	216	70	158	44.3	60.8	8.9%	4.5%	8.9%	1.7%	45.8%	94.0
Jamal Crawford	LAC	75	204	18.6%	1.05	214	68	183	37.2	51.9	6.9%	5.4%	6.9%	2.0%	38.2%	74.8
Arron Afflalo	NYK	66	210	23.9%	1.01	213	78	192	40.6	52.9	2.9%	6.2%	2.9%	0.5%	39.5%	66.1
Wesley Johnson	LAC	73	231	42.1%	0.92	213	73	218	33.5	47.9	1.3%	4.8%	0.9%	0.4%	32.5%	47.8
Ryan Anderson	NOP	66	224	20.1%	0.95	212	76	198	38.4	49.2	4.5%	7.1%	2.7%	0.0%	38.4%	52.4
Victor Oladipo	ORL	69	209	17.8%	1.01	211	67	194	34.5	49.5	4.3%	2.9%	3.8%	0.0%	36.4%	65.1
Dion Waiters	OKC	72	203	25.1%	1.03	210	72	184	39.1	54.1	3.4%	5.9%	3.4%	0.0%	38.4%	70.4
PJ Tucker	PHX	75	205	30.3%	1.02	209	73	179	40.8	55.6	2.9%	9.8%	2.4%	0.0%	38.5%	67.8
Ersan Ilyasova	DET	52	208	33.9%	0.99	206	69	183	37.7	50.5	6.3%	5.8%	4.3%	0.0%	39.4%	60.8
Rudy Gay	SAC	66	224	19.2%	0.92	205	74	196	37.8	46.4	5.8%	6.7%	5.8%	0.0%	38.8%	46.4
Lance Thomas	NYK	59	190	39.0%	1.07	204	71	162	43.8	53.4	10.0%	6.3%	8.9%	1.6%	45.3%	79.1
Derrick Rose	CHI	63	206	16.6%	0.99	203	76	187	40.6	50.3	4.9%	5.3%	4.9%	1.0%	40.3%	59.9
CJ Miles	IND	60	200	27.7%	1.01	203	69	183	37.7	52.2	3.5%	5.0%	3.5%	0.0%	38.0%	66.3
Jerryd Bayless	MIL	52	163	29.9%	1.24	202	65	153	42.5	60.8	5.5%	2.5%	4.9%	1.8%	43.6%	95.0
