Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Russell Westbrook	OKC	76	454	23.2%	1.15	520	179	306	58.5	60.6	22.9%	14.5%	17.8%	4.8%	57.0%	59.8
James Harden	HOU	76	447	20.7%	1.06	472	150	299	50.2	56.9	18.8%	17.0%	16.1%	2.9%	49.0%	38.3
LeBron James	CLE	72	345	19.5%	1.31	452	171	234	73.1	75.4	24.1%	15.1%	21.2%	7.2%	64.9%	85.5
Stephen Curry	GSW	73	369	20.0%	1.21	448	167	297	56.2	67.0	8.1%	12.5%	6.0%	1.1%	52.0%	73.8
Isaiah Thomas	BOS	76	395	23.2%	1.08	427	150	311	48.2	54.5	14.7%	9.9%	12.2%	3.5%	48.6%	43.3
John Wall	WAS	76	416	23.4%	1.02	426	163	287	56.8	59.2	16.1%	18.8%	12.7%	4.1%	50.5%	32.3
Darren Collison	SAC	71	286	30.4%	1.19	340	129	224	57.6	62.9	13.3%	10.8%	11.2%	2.4%	55.2%	68.0
Kevin Durant	OKC	68	259	15.0%	1.29	333	118	193	61.1	70.7	14.7%	14.7%	12.4%	3.9%	56.4%	83.2
Paul George	IND	75	293	16.1%	1.12	329	105	206	51.0	60.0	18.4%	15.0%	16.7%	3.8%	50.2%	54.0
Kyle Lowry	TOR	73	264	17.0%	1.23	325	100	184	54.3	63.6	23.1%	11.4%	20.8%	4.2%	56.8%	77.3
Klay Thompson	GSW	74	261	17.3%	1.24	324	117	217	53.9	67.7	6.9%	10.7%	6.1%	0.8%	51.0%	79.3
Giannis Antetokounmpo	MIL	74	261	20.4%	1.23	322	119	173	68.8	69.1	23.8%	14.2%	21.1%	4.2%	63.2%	78.3
Kentavious Caldwell-Pope	DET	71	247	22.5%	1.18	291	103	201	51.2	58.5	15.0%	6.9%	13.4%	3.2%	53.0%	65.3
Will Barton	DEN	77	257	22.0%	1.13	291	112	203	55.2	58.6	15.2%	10.5%	13.6%	4.7%	54.1%	55.3
Zach LaVine	MIN	76	232	21.0%	1.22	284	108	179	60.3	64.5	16.4%	9.5%	15.1%	3.0%	59.1%	76.3
Trevor Ariza	HOU	75	215	22.4%	1.27	272	99	182	54.4	66.8	9.8%	7.4%	7.9%	1.9%	53.5%	81.3
Rudy Gay	SAC	66	216	18.5%	1.24	267	105	164	64.0	68.9	13.9%	13.0%	11.1%	3.2%	58.8%	78.5
Gordon Hayward	UTA	74	195	13.2%	1.34	261	95	147	64.6	69.7	19.0%	10.8%	13.3%	5.1%	62.6%	90.7
Kemba Walker	CHA	74	209	13.4%	1.21	252	84	161	52.2	58.4	19.1%	6.7%	15.3%	2.9%	56.5%	72.0
Avery Bradley	BOS	71	220	19.8%	1.11	245	101	189	53.4	59.8	5.9%	8.6%	5.9%	0.5%	51.4%	51.7
DeMarcus Cousins	SAC	63	229	12.6%	1.04	239	81	159	50.9	58.5	17.5%	16.6%	15.3%	3.5%	48.9%	34.8
Goran Dragic	MIA	65	212	21.0%	1.12	237	99	156	63.5	65.1	10.8%	17.0%	9.4%	1.4%	55.7%	52.8
Corey Brewer	HOU	76	214	32.8%	1.11	237	83	161	51.6	55.9	19.6%	8.9%	17.3%	3.7%	53.7%	50.7
Khris Middleton	MIL	76	189	13.6%	1.22	231	81	135	60.0	67.0	15.9%	15.3%	12.7%	2.6%	55.6%	75.9
Andrew Wiggins	MIN	75	191	11.9%	1.21	231	87	138	63.0	64.1	20.4%	11.0%	18.8%	3.7%	61.3%	72.8
Otto Porter Jr.	WAS	69	194	24.5%	1.17	227	80	153	52.3	59.8	16.0%	7.2%	16.0%	2.6%	54.6%	64.8
Jeff Teague	ATL	74	213	17.1%	1.06	225	80	152	52.6	57.9	17.4%	16.0%	14.6%	4.7%	48.8%	38.6
Victor Oladipo	ORL	69	207	17.6%	1.07	222	85	163	52.1	55.2	14.5%	9.7%	12.1%	2.9%	52.2%	42.0
Monta Ellis	IND	75	218	17.6%	1.02	222	85	153	55.6	58.2	15.6%	18.8%	13.8%	4.6%	49.5%	31.0
Evan Fournier	ORL	73	167	15.9%	1.32	221	78	126	61.9	72.2	16.8%	9.6%	12.6%	1.8%	61.1%	87.3
Devin Booker	PHX	69	180	18.0%	1.22	219	76	133	57.1	64.3	16.1%	12.8%	14.4%	3.3%	55.0%	74.8
Omri Casspi	SAC	69	186	23.5%	1.16	215	84	139	60.4	66.5	14.5%	12.9%	12.9%	2.2%	54.3%	62.0
Jae Crowder	BOS	67	188	20.5%	1.14	215	81	153	52.9	57.2	17.0%	6.4%	14.9%	4.8%	54.3%	59.5
Jabari Parker	MIL	70	177	17.9%	1.20	213	87	132	65.9	65.9	16.4%	11.3%	15.3%	2.3%	62.7%	71.8
Gary Harris	DEN	71	179	21.1%	1.18	212	85	140	60.7	63.2	14.5%	10.6%	13.4%	3.4%	58.7%	67.0
Ramon Sessions	WAS	76	187	25.4%	1.10	206	77	132	58.3	60.2	20.3%	12.8%	18.2%	5.3%	55.6%	49.3
Kent Bazemore	ATL	71	196	22.8%	1.05	205	80	150	53.3	59.3	10.2%	16.3%	10.7%	3.6%	47.4%	35.5
Bojan Bogdanovic	BKN	74	158	18.7%	1.29	204	83	140	59.3	67.9	6.3%	7.0%	5.7%	1.9%	57.0%	83.5
CJ McCollum	POR	74	204	12.8%	0.99	202	72	153	47.1	53.3	12.3%	14.7%	9.8%	2.0%	45.6%	25.8
Chris Paul	LAC	69	175	12.8%	1.14	199	66	114	57.9	66.7	15.4%	21.1%	9.7%	1.7%	51.4%	57.8
Garrett Temple	WAS	72	183	31.8%	1.09	199	66	137	48.2	54.0	21.3%	6.0%	18.6%	2.2%	54.1%	46.3
Kawhi Leonard	SAS	67	160	13.2%	1.23	197	74	127	58.3	63.4	15.6%	10.0%	11.3%	5.0%	56.9%	77.5
Dwyane Wade	MIA	68	188	12.9%	1.04	195	76	128	59.4	59.4	17.6%	16.0%	14.9%	1.6%	55.3%	33.5
Bradley Beal	WAS	51	159	17.6%	1.17	186	67	135	49.6	58.1	13.8%	3.8%	11.9%	2.5%	51.6%	64.3
Reggie Jackson	DET	75	193	12.9%	0.94	182	68	141	48.2	51.8	11.4%	18.7%	9.8%	3.1%	43.5%	20.3
