"player","lineup","sumgp","player_name","lineup_name"
708,202711,14,"Kevin Garnett","Bojan Bogdanovic"
708,101187,12,"Kevin Garnett","Alan Anderson"
708,101127,12,"Kevin Garnett","Jarrett Jack"
708,203486,12,"Kevin Garnett","Mason Plumlee"
977,202334,37,"Kobe Bryant","Ed Davis"
977,202325,57,"Kobe Bryant","Wesley Johnson"
977,202391,38,"Kobe Bryant","Jeremy Lin"
977,2430,20,"Kobe Bryant",NA
1495,2225,149,"Tim Duncan","Tony Parker"
1495,2588,21,"Tim Duncan","Matt Bonner"
1495,203382,16,"Tim Duncan","Aron Baynes"
1495,1938,39,"Tim Duncan","Manu Ginobili"
1713,201144,18,"Vince Carter","Mike Conley"
1713,201188,18,"Vince Carter","Marc Gasol"
1713,201584,18,"Vince Carter","Courtney Lee"
1713,2216,18,"Vince Carter","Zach Randolph"
1717,2749,21,"Dirk Nowitzki","Jameer Nelson"
1717,2210,14,"Dirk Nowitzki","Richard Jefferson"
1717,201148,16,"Dirk Nowitzki","Brandan Wright"
1717,2405,11,"Dirk Nowitzki","Amar'e Stoudemire"
1718,2403,60,"Paul Pierce","Nene"
1718,202322,101,"Paul Pierce","John Wall"
1718,2400,13,"Paul Pierce","Drew Gooden"
1718,2743,28,"Paul Pierce","Kris Humphries"
1889,2446,32,"Andre Miller","Rasual Butler"
1889,2743,19,"Andre Miller","Kris Humphries"
1889,2403,13,"Andre Miller","Nene"
1889,203490,32,"Andre Miller","Otto Porter"
1890,202681,48,NA,"Kyrie Irving"
1890,201567,48,NA,"Kevin Love"
1890,2760,22,NA,"Anderson Varejao"
1890,202684,26,NA,"Tristan Thompson"
1891,201147,21,"Jason Terry","Corey Brewer"
1891,2772,12,"Jason Terry","Trevor Ariza"
1891,204028,12,"Jason Terry","Tarik Black"
1891,202700,12,"Jason Terry","Donatas Motiejunas"
1938,2225,39,"Manu Ginobili","Tony Parker"
1938,203382,17,"Manu Ginobili","Aron Baynes"
1938,201158,17,"Manu Ginobili","Marco Belinelli"
