"player","player_name"
708,"Kevin Garnett"
977,"Kobe Bryant"
1495,"Tim Duncan"
1713,"Vince Carter"
1717,"Dirk Nowitzki"
1718,"Paul Pierce"
1889,"Andre Miller"
1891,"Jason Terry"
1938,"Manu Ginobili"
2034,"Mike Miller"
2037,"Jamal Crawford"
2199,"Tyson Chandler"
2200,"Pau Gasol"
2207,"Joe Johnson"
2210,"Richard Jefferson"
2216,"Zach Randolph"
2225,"Tony Parker"
2399,"Mike Dunleavy"
2400,"Drew Gooden"
2403,"Nene"
2405,"Amar'e Stoudemire"
2406,"Caron Butler"
2440,"Matt Barnes"
2446,"Rasual Butler"
2449,"Luis Scola"
2544,"LeBron James"
2548,"Dwyane Wade"
2549,"Chris Kaman"
2550,"Kirk Hinrich"
2561,"David West"
2564,"Boris Diaw"
2571,"Leandro Barbosa"
2581,"Steve Blake"
2585,"Zaza Pachulia"
2588,"Matt Bonner"
2590,"Mo Williams"
2592,"James Jones"
2594,"Kyle Korver"
2617,"Udonis Haslem"
2730,"Dwight Howard"
2733,"Shaun Livingston"
2734,"Devin Harris"
2736,"Luol Deng"
2738,"Andre Iguodala"
2743,"Kris Humphries"
2744,"Al Jefferson"
2746,"Josh Smith"
2747,"J.R. Smith"
2749,"Jameer Nelson"
2754,"Tony Allen"
2757,"Beno Udrih"
2760,"Anderson Varejao"
2772,"Trevor Ariza"
101106,"Andrew Bogut"
101107,"Marvin Williams"
101108,"Chris Paul"
101112,"Channing Frye"
101114,"Deron Williams"
101127,"Jarrett Jack"
101133,"Ian Mahinmi"
101135,"David Lee"
101138,"Brandon Bass"
101139,"CJ Miles"
101141,"Ersan Ilyasova"
101145,"Monta Ellis"
101150,"Lou Williams"
101161,"Amir Johnson"
101162,"Marcin Gortat"
101179,"Ronnie Price"
101187,"Alan Anderson"
200745,"Andrea Bargnani"
200746,"LaMarcus Aldridge"
200751,"Randy Foye"
200752,"Rudy Gay"
200755,"JJ Redick"
200757,"Thabo Sefolosha"
200765,"Rajon Rondo"
200768,"Kyle Lowry"
200782,"PJ Tucker"
