"","player_id","player_name","player_last_team_id","player_last_team_abbreviation","age","gp","g","fga_frequency","fgm","fga","fg_pct","efg_pct","fg2a_frequency","fg2m","fg2a","fg2_pct","fg3a_frequency","fg3m","fg3a","fg3_pct"
"1","203083","Andre Drummond","1610612765","DET","21","82","55","0.124","52","118","0.441","0.441","0.124","52","118","0.441","0","0","0","202683"
"2","Enes Kanter","1610612760","OKC","23","75","45","0.078","36","72","0.5","0.5","0.078","36","72","0.5","0","0","0","201599","DeAndre Jordan"
"3","1610612746","LAC","26","82","45","0.13","35","68","0.515","0.515","0.13","35","68","0.515","0","0","0","203497","Rudy Gobert","1610612762"
"4","UTA","23","82","36","0.132","30","56","0.536","0.536","0.132","30","56","0.536","0","0","0","201149","Joakim Noah","1610612741","CHI"
"5","30","67","36","0.128","19","54","0.352","0.352","0.128","19","54","0.352","0","0","0","202324","Derrick Favors","1610612762","UTA","23"
"6","74","37","0.057","32","52","0.615","0.615","0.057","32","52","0.615","0","0","0","202684","Tristan Thompson","1610612739","CLE","24","81"
"7","36","0.108","17","52","0.327","0.327","0.108","17","52","0.327","0","0","0","202328","Greg Monroe","1610612765","DET","25","69","36"
"8","0.06","27","51","0.529","0.529","0.06","27","51","0.529","0","0","0","202685","Jonas Valanciunas","1610612761","TOR","23","80","33","0.076"
"9","28","49","0.571","0.571","0.076","28","49","0.571","0","0","0","2216","Zach Randolph","1610612763","MEM","33","71","32","0.05","26"
"10","47","0.553","0.553","0.05","26","47","0.553","0","0","0","202696","Nikola Vucevic","1610612753","ORL","24","74","28","0.039","21","47"
"11","0.447","0.447","0.039","21","47","0.447","0","0","0","2200","Pau Gasol","1610612741","CHI","34","78","33","0.039","28","45","0.622"
"12","0.622","0.039","28","45","0.622","0","0","0","2199","Tyson Chandler","1610612742","DAL","32","75","29","0.101","27","44","0.614","0.614"
"13","0.101","27","44","0.614","0","0","0","203096","Jared Sullinger","1610612738","BOS","23","58","31","0.061","24","43","0.558","0.558","0.061"
