"","player_name","team_name","action_type","shot_zone_range","shot_zone","shot_type"
"1","Stephen Curry","Golden State Warriors","Running Jump Shot","8-16 ft.",2,"Jump"
"2","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"3","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"4","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"5","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"6","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"7","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"8","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"9","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"10","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"11","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"12","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"13","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"14","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"15","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"16","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"17","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"18","Stephen Curry","Golden State Warriors","Jump Shot","Less Than 8 ft.",1,"Jump"
"19","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"20","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"21","Stephen Curry","Golden State Warriors","Jump Shot","Less Than 8 ft.",1,"Jump"
"22","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"23","Stephen Curry","Golden State Warriors","Turnaround Bank shot","16-24 ft.",3,"Bank"
"24","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"25","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"26","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"27","Stephen Curry","Golden State Warriors","Turnaround Bank shot","Less Than 8 ft.",1,"Bank"
"28","Stephen Curry","Golden State Warriors","Turnaround Jump Shot","8-16 ft.",2,"Jump"
"29","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"30","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"31","Stephen Curry","Golden State Warriors","Driving Reverse Layup Shot","Less Than 8 ft.",1,"Layup"
"32","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
