Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Washington Wizards	74	672	8.4%	1.20	809	337	550	61.3	61.3	15.8%	6.0%	15.0%	3.6%	61.3%	37.9
Utah Jazz	74	722	9.3%	1.15	830	345	577	59.8	59.8	15.9%	8.3%	15.5%	4.2%	58.4%	6.9
Toronto Raptors	73	469	6.1%	1.25	584	241	380	63.4	63.4	16.6%	6.6%	15.1%	4.3%	63.1%	69.0
San Antonio Spurs	74	579	7.5%	1.26	729	314	505	62.2	62.2	13.0%	4.8%	12.8%	5.0%	62.2%	93.1
Sacramento Kings	74	685	8.2%	1.15	788	337	564	59.8	59.8	13.1%	6.6%	12.6%	2.2%	59.0%	10.3
Portland Trail Blazers	75	636	7.8%	1.20	765	309	494	62.6	62.6	19.3%	7.1%	18.9%	4.4%	61.0%	34.5
Phoenix Suns	74	582	7.1%	1.13	656	278	480	57.9	57.9	14.8%	7.4%	13.9%	4.8%	57.0%	3.4
Philadelphia 76ers	75	682	8.3%	1.07	732	301	551	54.6	54.6	15.0%	6.9%	14.2%	2.8%	55.6%	0.0
Orlando Magic	74	557	6.9%	1.16	644	267	468	57.1	57.1	16.0%	4.5%	15.1%	4.5%	58.3%	13.8
Oklahoma City Thunder	75	655	7.8%	1.25	816	352	527	66.8	66.8	13.6%	8.7%	13.3%	3.1%	63.4%	72.4
New York Knicks	75	618	7.8%	1.18	729	288	494	58.3	58.3	17.6%	6.5%	16.8%	4.5%	59.2%	31.0
New Orleans Pelicans	73	454	5.7%	1.23	558	224	355	63.1	63.1	17.8%	6.4%	15.6%	2.4%	63.7%	58.6
Minnesota Timberwolves	74	528	6.6%	1.33	702	272	412	66.0	66.0	21.8%	5.1%	20.1%	5.5%	66.5%	100.0
Milwaukee Bucks	74	884	11.2%	1.17	1032	420	699	60.1	60.1	17.1%	7.2%	15.7%	3.5%	59.8%	20.7
Miami Heat	73	561	7.3%	1.25	701	287	456	62.9	62.9	18.2%	6.4%	17.8%	5.9%	62.2%	79.3
Memphis Grizzlies	74	619	7.9%	1.21	746	304	501	60.7	60.7	15.5%	5.8%	14.4%	2.4%	61.9%	41.4
Los Angeles Lakers	74	489	6.1%	1.24	606	246	389	63.2	63.2	15.7%	7.0%	15.1%	2.5%	62.4%	62.1
Los Angeles Clippers	73	463	5.9%	1.28	591	256	365	70.1	70.1	19.2%	7.8%	18.6%	5.8%	66.5%	96.6
Indiana Pacers	74	667	8.2%	1.24	827	347	531	65.3	65.3	14.8%	8.4%	14.1%	2.8%	63.0%	65.5
Houston Rockets	75	632	7.6%	1.18	743	305	484	63.0	63.0	19.8%	7.6%	18.4%	4.3%	60.8%	27.6
Golden State Warriors	74	898	10.9%	1.25	1123	480	746	64.3	64.3	14.1%	6.5%	13.5%	3.7%	63.0%	82.8
Detroit Pistons	75	430	5.2%	1.26	540	216	340	63.5	63.5	21.6%	4.2%	20.2%	4.9%	64.4%	89.7
Denver Nuggets	75	718	8.7%	1.21	867	366	586	62.5	62.5	15.7%	6.4%	14.5%	3.8%	61.1%	44.8
Dallas Mavericks	74	662	8.4%	1.25	827	339	528	64.2	64.2	16.8%	7.4%	16.5%	3.9%	63.0%	75.9
Cleveland Cavaliers	74	553	7.1%	1.22	672	280	443	63.2	63.2	17.4%	7.6%	16.6%	5.1%	60.9%	51.7
Chicago Bulls	74	652	8.0%	1.21	792	332	544	61.0	61.0	14.6%	6.3%	14.0%	4.3%	60.9%	48.3
Charlotte Hornets	74	542	6.9%	1.17	632	247	437	56.5	56.5	18.3%	5.4%	17.9%	4.2%	59.2%	17.2
Brooklyn Nets	74	722	9.1%	1.17	846	352	588	59.9	59.9	13.4%	7.8%	12.7%	2.6%	59.1%	24.1
Boston Celtics	74	565	6.7%	1.25	709	304	482	63.1	63.1	13.1%	4.6%	12.6%	3.0%	63.4%	86.2
Atlanta Hawks	75	683	8.5%	1.22	835	358	571	62.7	62.7	11.9%	6.6%	11.1%	2.2%	61.3%	55.2
