Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Houston Rockets	75	1552	18.60%	1.09	1699	614	1169	52.5	59.6	15.10%	12.10%	13.50%	2.80%	50.80%	44.8
Sacramento Kings	74	1547	18.50%	1.09	1686	644	1137	56.6	62.2	13.20%	15.40%	11.00%	2.30%	51.60%	34.5
Washington Wizards	74	1518	18.90%	1.11	1678	613	1146	53.5	59.1	16.50%	10.70%	14.40%	3.10%	52.70%	51.7
Golden State Warriors	74	1446	17.50%	1.16	1674	641	1111	57.7	65.5	11.00%	13.90%	9.70%	1.80%	52.80%	93.1
Oklahoma City Thunder	75	1354	16.10%	1.12	1512	547	991	55.2	60	17.20%	13.50%	14.60%	4.00%	53.00%	62.1
Boston Celtics	74	1365	16.30%	1.09	1492	561	1072	52.3	57.9	12.50%	11.40%	10.70%	2.60%	50.50%	37.9
Indiana Pacers	74	1245	15.40%	1.11	1385	513	938	54.7	59.6	15.80%	12.50%	14.20%	3.80%	52.40%	58.6
Phoenix Suns	74	1197	14.50%	1.1	1313	493	903	54.6	60.4	13.80%	13.50%	11.70%	2.80%	51.30%	48.3
Atlanta Hawks	75	1168	14.50%	1.11	1298	509	905	56.2	61.9	11.60%	13.90%	10.20%	3.10%	51.40%	55.2
Philadelphia 76ers	75	1239	15.10%	1.05	1298	492	962	51.1	58.2	12.00%	13.20%	10.10%	2.80%	47.90%	13.8
Cleveland Cavaliers	74	1040	13.30%	1.19	1234	459	787	58.3	65.1	15.50%	12.10%	13.80%	3.60%	55.10%	96.6
Milwaukee Bucks	74	1070	13.60%	1.14	1219	454	773	58.7	62.7	16.40%	14.30%	14.70%	3.20%	55.00%	75.9
Denver Nuggets	75	1068	12.90%	1.13	1212	446	804	55.5	59.3	16.50%	11.70%	14.50%	3.50%	54.40%	72.4
Minnesota Timberwolves	74	1052	13.20%	1.15	1209	449	751	59.8	62.6	17.70%	14.40%	15.80%	3.40%	56.10%	82.8
Detroit Pistons	75	1092	13.10%	1.07	1168	434	844	51.4	57.2	14.60%	11.90%	12.30%	3.80%	49.20%	20.7
Orlando Magic	74	1063	13.20%	1.09	1162	440	797	55.2	59.9	15.10%	13.10%	13.10%	3.20%	52.30%	41.4
New Orleans Pelicans	73	1001	12.60%	1.12	1124	425	779	54.6	61.2	12.10%	12.10%	10.20%	2.30%	51.50%	65.5
Toronto Raptors	73	897	11.70%	1.21	1088	380	668	56.9	63.5	18.70%	10.70%	15.50%	3.90%	56.90%	100
Los Angeles Clippers	73	966	12.40%	1.12	1086	387	708	54.7	62.2	14.90%	14.10%	12.20%	2.30%	51.80%	69
Portland Trail Blazers	75	1007	12.30%	1.03	1041	389	752	51.7	57.4	13.10%	14.60%	11.30%	2.40%	48.60%	10.3
Miami Heat	73	958	12.50%	1.07	1029	401	722	55.5	59.2	14.10%	12.90%	12.60%	2.50%	52.40%	27.6
Brooklyn Nets	74	954	12.10%	1.06	1015	401	735	54.6	59.6	11.30%	13.50%	10.20%	1.90%	50.30%	17.2
Los Angeles Lakers	74	1020	12.80%	0.99	1009	377	757	49.8	55.2	11.80%	15.30%	10.80%	1.50%	46.80%	3.4
Memphis Grizzlies	74	901	11.50%	1.09	980	370	683	54.2	58.4	15.30%	12.40%	12.50%	3.70%	52.10%	31
Charlotte Hornets	74	833	10.50%	1.15	956	348	645	54	60.6	14.90%	10.70%	12.10%	3.00%	53.10%	79.3
Chicago Bulls	74	967	11.90%	0.99	954	362	747	48.5	53.7	11.30%	13.00%	10.30%	1.60%	46.30%	0
Utah Jazz	74	797	10.30%	1.15	918	347	590	58.8	63	15.80%	13.60%	11.70%	3.50%	55.30%	86.2
Dallas Mavericks	74	789	10.00%	1.15	910	316	621	50.9	58.3	15.50%	8.00%	13.10%	2.40%	52.30%	89.7
San Antonio Spurs	74	836	10.80%	1.07	897	355	662	53.6	57.8	11.50%	12.30%	9.30%	3.10%	50.40%	24.1
New York Knicks	75	872	11.00%	1.03	897	317	665	47.7	54	14.60%	11.40%	12.80%	2.40%	47.70%	6.9
